Name,Geo,World University Rankings 2026,Arts and Humanities 2025,Business and Economics 2025,Medical and Health 2025,Computer Science 2025,Education Studies 2025,Engineering 2025,Law 2025,Life Sciences 2025,Physical Sciences 2025,Social Sciences 2025
University of Hormozgan,"Bandar Abbas, Iran",1501,8011000,1001,,,,,,,,
University of Huelva,"Huelva, Spain",1501,,,,,,,,,,
University of Hyogo,"Kobe, Japan",1501,801,1251,1001,1001,,,,,,
University of Jijel,"Jijel, Algeria",1501,1251,1001,,,,,,,,
University of Karachi,"Karachi, Pakistan",1501,8011000,8011000,1001,,,,,,,
University of Kelaniya,"Kelaniya, Sri Lanka",1501,1001,,,,,,,,,
University of Kerbala,"Kerbala, Iraq",1501,1251,1001,,,,,,,,
University of Kirkuk,"Kirkuk, Iraq",1501,,,,,,,,,,
University of Kufa,"Kufa, Iraq",1501,1001,8011000,1001,1001,1001,,,,,
University of Laghouat,"Laghouat, Algeria",1501,1251,1001,,,,,,,,
University of Lampung,"Bandar Lampung, Indonesia",1501,1001,,,,,,,,,
University of La Rochelle,"La Rochelle, France",1501,8011000,10011250,8011000,,,,,,,
University of La Sabana,"Chía, Colombia",1501,1001,601,1001,,,,,,,
University of Las Américas (UDLA),"Quito, Ecuador",1501,1001,,,,,,,,,
University of Lethbridge,"Lethbridge, Canada",1501,8011000,8011000,1001,401500,8011000,,,,,
University of Life Sciences in Lublin,"Lublin, Poland",1501,8011000,,,,,,,,,
University of Lodz,"Lodz, Poland",1501,601,801,1001,601,301,8011000,1001,601,8011000,
University of Los Lagos,"Osorno, Chile",1501,601,8011000,1001,,,,,,,
University of Lucknow,"Lucknow, India",1501,8011000,8011000,1001,,,,,,,
University of Macedonia,"Thessaloniki, Greece",1501,801,8011000,401500,8011000,,,,,,
University of Mascara,"Mascara, Algeria",1501,8011000,1001,,,,,,,,
University of Mataram,"Kota Mataram, Indonesia",1501,1001,,,,,,,,,
University of Medellín,"Medellin, Colombia",1501,301,1001,,,,,,,,
University of Miskolc,"Miskolc, Hungary",1501,10011250,1001,,,,,,,,
University of Miyazaki,"Miyazaki, Japan",1501,8011000,1251,8011000,,,,,,,
University of Monastir,"Monastir, Tunisia",1501,801,8011000,8011000,8011000,601800,1001,,,,
University of Montenegro,"Podgorica, Montenegro",1501,601800,1001,1251,1001,1001,8011000,,,,
University of Moratuwa,"Colombo, Sri Lanka",1501,601800,8011000,10011250,,,,,,,
University of Mosul,"Mosul, Iraq",1501,1001,1001,1251,1001,1001,,,,,
University of Nairobi,"Nairobi, Kenya",1501,601800,8011000,1001,8011000,,,,,,
University of Namibia,"Windhoek, Namibia",1501,1001,1001,,,,,,,,
University of Novi Sad,"Novi Sad, Serbia",1501,601,801,8011000,8011000,601,1251,8011000,1001,501600,8011000
University of Oradea,"Bihor, Romania",1501,8011000,1251,8011000,,,,,,,
University of Ostrava,"Ostrava, Czechia",1501,8011000,1001,1001,1001,,,,,,
University of Oum El Bouaghi,"Oum El Bouaghi, Algeria",1501,1251,1001,,,,,,,,
University of Pannonia,"Veszprem, Hungary",1501,10011250,,,,,,,,,
University of Pardubice,"Pardubice 2, Czechia",1501,801,1251,1001,601,,,,,,
University of Passo Fundo (UPF),"Passo Fundo, Brazil",1501,1001,,,,,,,,,
University of Pau and Pays de l’Adour,"Pau, France",1501,10011250,8011000,1001,1001,,,,,,
University of Pernambuco,"Recife, Brazil",1501,1001,1001,,,,,,,,
University of Phayao,"Amphur, Thailand",1501,1001,8011000,1001,,,,,,,
University of Port Harcourt,"Choba, Nigeria",1501,1001,1251,1001,,,,,,,
University of Primorska,"Koper, Slovenia",1501,801,8011000,601,1001,8011000,,,,,
University of Prishtina,"Prishtina, Kosovo",1501,801,1001,601,1001,1001,,,,,
University of Qom,"Qom, Iran",1501,8011000,1001,,,,,,,,
University of Rijeka,"Rijeka, Croatia",1501,601,801,1001,8011000,601,1251,1001,501600,,
University of Rwanda,"Kigal, Rwanda",1501,1001,601,8011000,,,,,,,
University of Rzeszów,"Rzeszów, Poland",1501,,,,,,,,,,
University of San Martín de Porres,"Santa Anita, Peru",1501,,,,,,,,,,
"University of Santiago, Chile (USACH)",Chile,1501,501600,801,8011000,1001,601,1251,8011000,1001,601,8011000
University of Santo Tomas,"Manila, Philippines",1501,601800,501600,,,,,,,,
University of Sarajevo,"Sarajevo, Bosnia & Herzegovina",1501,801,1001,1001,601,1251,1001,1001,1001,,
University of Science and Technology of Oran Mohamed-Boudiaf,"Bir El Djir, Algeria",1501,1251,1001,,,,,,,,
University of Sciences and Technology Houari Boumediene,"Bab Ezzouar, Algeria",1501,1001,1251,1001,1001,,,,,,
University of Shizuoka,"Shizuoka, Japan",1501,8011000,1001,,,,,,,,
University of Silesia in Katowice,"40-007 Katowice, Poland",1501,601,1001,601,10011250,301,8011000,1001,601,8011000,
University of Sistan and Baluchestan,"Zahedan, Iran",1501,10011250,1001,,,,,,,,
University of Sonora,"Hermosillo, Mexico",1501,1251,1001,1001,,,,,,,
University of Sousse,"Sousse, Tunisia",1501,801,1001,8011000,10011250,601800,1001,8011000,,,
University of Sri Jayewardenepura,"Nugegoda, Sri Lanka",1501,1001,8011000,8011000,,,,,,,
University of Sunderland,"Sunderland, United Kingdom",1501,8011000,8011000,,,,,,,,
University of Szczecin,"Pawla II 22a, Poland",1501,601,801,1001,8011000,,,,,,
University of Taipei,"Taipei, Taiwan",1501,,,,,,,,,,
University of Talca,Chile,1501,1001,8011000,601,10011250,301,601800,8011000,,,
University of Technology of Troyes,"Troyes, France",1501,10011250,,,,,,,,,
University of Texas Rio Grande Valley,"Brownsville, United States",1501,601800,8011000,501600,1251,8011000,8011000,501600,8011000,,
"University of the Andes, Chile","Las Condes, Chile",1501,501600,8011000,301,8011000,,,,,,
"University of the Andes, Venezuela","Merida, Venezuela",1501,1001,,,,,,,,,
University of the Arts London,"London, United Kingdom",1501,,,,,,,,,,
"University of the North, Colombia","Barranquilla, Colombia",1501,401500,10011250,1001,601800,,,,,,
University of the Ryukyus,"Nakagami-gun, Japan",1501,8011000,10011250,8011000,1001,,,,,,
University of Thi-Qar,"Nasiriyah, Iraq",1501,1251,1001,,,,,,,,
University of Toyama,"Toyama-shi, Japan",1501,601800,10011250,1001,,,,,,,
University of Tunis,"Tunis, Tunisia",1501,801,8011000,10011250,1001,,,,,,
University of Valparaíso,"Valparaiso, Chile",1501,1001,1001,8011000,1001,,,,,,
University of Warmia and Mazury in Olsztyn,"Olsztyn, Poland",1501,601,801,601800,1001,1251,301,8011000,1001,1001,
University of West Attica,"Egaleo, Greece",1501,801,1001,8011000,10011250,1001,8011000,,,,
University of West Bohemia,"Pilsen, Czechia",1501,601800,10011250,1001,8011000,,,,,,
University of Western Macedonia,"Kozani, Greece",1501,801,601800,601,10011250,8011000,,,,,
University of Worcester,"Worcester, United Kingdom",1501,601,1001,,,,,,,,
University of Yamanashi,"Kofu, Japan",1501,8011000,1251,8011000,,,,,,,
University of Zambia,"Lusaka, Zambia",1501,8011000,1001,,,,,,,,
University of Zanjan,"Zanjan, Iran",1501,10011250,601800,1001,,,,,,,
University of Zimbabwe,"Mount Pleasant, Zimbabwe",1501,601800,1001,1001,8011000,,,,,,
Uşak University,"Usak, Türkiye",1501,1001,601,,,,,,,,
Üsküdar University,"Üsküdar, Türkiye",1501,,,,,,,,,,
Utsunomiya University,"Utsunomiya-City, Japan",1501,1251,1001,,,,,,,,
Uzhhorod National University,"Uzhhorod, Ukraine",1501,1001,1001,,,,,,,,
Vali-e-Asr University of Rafsanjan,"Rafsanjan, Iran",1501,1001,,,,,,,,,
Van Yüzüncü Yil University,"Van, Türkiye",1501,1001,10011250,1001,8011000,,,,,,
Vasyl Stefanyk Carpathian National University,"Ivano-Frankivsk, Ukraine",1501,,,,,,,,,,
"Vels Institute of Science, Technology and Advanced Studies (VISTAS)","Chennai, India",1501,601800,8011000,601800,,,,,,,
Vietnam National University (Ho Chi Minh City),"Ho Chi Minh City, Vietnam",1501,801,601800,1001,10011250,8011000,1001,8011000,,,
"Vignan’s Foundation for Science, Technology and Research","Guntur, India",1501,10011250,,,,,,,,,
Vilnius Gediminas Technical University (Vilnius Tech),"Vilnius, Lithuania",1501,401500,8011000,10011250,1001,601800,,,,,
Vinayaka Mission’s Research Foundation,"Salem, India",1501,1001,8011000,,,,,,,,
V.N. Karazin Kharkiv National University,"Kharkiv, Ukraine",1501,801,1001,1001,1001,1001,1001,,,,
Warsaw University of Life Sciences – SGGW,"Warsaw, Poland",1501,801,1001,1251,601800,,,,,,
Wasit University,"Al Kut, Iraq",1501,10011250,8011000,,,,,,,,
West University of Timişoara,"Timisoara, Romania",1501,601800,1001,401500,601800,,,,,,
Wrocław University of Environmental and Life Sciences,"Wroclaw, Poland",1501,1251,8011000,1001,8011000,,,,,,
Yamagata University,"Yamagata, Japan",1501,8011000,10011250,8011000,1001,,,,,,
Yamaguchi University,"Yamaguchi, Japan",1501,8011000,1001,10011250,601800,801,,,,,
