Name,Geo,World University Rankings 2026,Arts and Humanities 2025,Business and Economics 2025,Medical and Health 2025,Computer Science 2025,Education Studies 2025,Engineering 2025,Law 2025,Life Sciences 2025,Physical Sciences 2025,Social Sciences 2025
Chiba Institute of Technology,"Narashino, Japan",1501,1251,,,,,,,,,
Chinese Culture University,"Taipei, Taiwan",1501,801,1001,,,,,,,,
Chosun University,"29, South Korea",1501,8011000,601800,10011250,,,,,,,
Christ University,"Bengaluru, India",1501,801,8011000,8011000,8011000,1001,,,,,
Chubu University,"Kasugai, Japan",1501,1251,8011000,,,,,,,,
Chung Shan Medical University,"Taichung City, Taiwan",1501,8011000,8011000,1001,,,,,,,
Chuo University,"Tokyo, Japan",1501,1001,1251,1001,,,,,,,
Communication University of China,"Chaoyang District, China",1501,1001,1001,601800,,,,,,,
Cracow University of Technology,"Kraków, Poland",1501,1001,10011250,1001,,,,,,,
Cukurova University,"01, Türkiye",1501,1001,601,10011250,8011000,1001,8011000,,,,
Damascus University,"Damascus, Syria",1501,1001,,,,,,,,,
Damghan University,"Damghan, Iran",1501,10011250,1001,,,,,,,,
Dankook University,South Korea,1501,8011000,1001,601,10011250,601800,1001,8011000,,,
De La Salle University,Philippines,1501,601,801,1001,401500,1251,1001,401500,8011000,,
Del Rosario University,"Bogata, Colombia",1501,801,1001,301,601800,8011000,,,,,
"Delta State University, Abraka","Abraka, Nigeria",1501,,,,,,,,,,
Dicle University,"Diyarbakir, Türkiye",1501,8011000,1001,1001,,,,,,,
Diponegoro University,"JT, Indonesia",1501,801,1001,1251,301,1001,1001,8011000,,,
Dnipro University of Technology,"Dnipro, Ukraine",1501,,,,,,,,,,
Dokkyo Medical University,"Shimotsuga-gun, Japan",1501,8011000,,,,,,,,,
Dokuz Eylül University,"Alsancak, Türkiye",1501,801,8011000,1001,601,1251,8011000,1001,501,8011000,
Doshisha University,"Kamigyo-ku, Japan",1501,1001,1251,601,1001,,,,,,
Dow University of Health Sciences,"Karachi, Pakistan",1501,8011000,,,,,,,,,
Dr. M.G.R. Educational and Research Institute,"Chennai, India",1501,,,,,,,,,,
Dumlupinar University,"Kutahya, Türkiye",1501,1251,,,,,,,,,
Dunarea de Jos University of Galati,"Galati, Romania",1501,1251,8011000,,,,,,,,
Durban University of Technology,"Durban, South Africa",1501,801,601800,8011000,501600,10011250,8011000,1001,8011000,,
EAFIT University,"Pereira, Colombia",1501,801,1001,8011000,,,,,,,
East China University Of Technology,"Fuzhou City, China",1501,,,,,,,,,,
East West University,Bangladesh,1501,,,,,,,,,,
Ehime University,"Ehime, Japan",1501,601800,1251,8011000,1001,,,,,,
Ekiti State University,"Ado Ekiti, Nigeria",1501,,,,,,,,,,
El Bosque University,"Bogata, Colombia",1501,1001,,,,,,,,,
Erzincan Binali Yıldırım University,"Erzincan, Türkiye",1501,1001,8011000,,,,,,,,
Escuela Politécnica Nacional,"Quito, Ecuador",1501,1251,1001,,,,,,,,
Escuela Superior Politécnica del Litoral,"Guayaquil, Ecuador",1501,8011000,1251,1001,601800,,,,,,
Eskişehir Osmangazi University,"Eskisehir, Türkiye",1501,1001,601,1251,1001,1001,,,,,
Eskişehir Technical University,"Eskisehir, Türkiye",1501,1251,1001,,,,,,,,
"Federal Institute of Education, Science and Technology of São Paulo","São Paulo, Brazil",1501,1251,1001,,,,,,,,
Federal Rural University of Pernambuco,"CEP, Brazil",1501,1001,1251,1001,1001,1001,,,,,
"Federal University of Agriculture, Abeokuta","Abeokuta, Nigeria",1501,1001,1001,,,,,,,,
Federal University of Espírito Santo,"Vitória, Brazil",1501,801,8011000,8011000,601,10011250,1001,1001,601,1001,
Federal University of Goiás,"Goiânia, Brazil",1501,601,801,8011000,1001,601,1251,8011000,1001,1001,
Federal University of Lavras,"Lavras, Brazil",1501,1001,1251,601800,1001,,,,,,
Federal University of Mato Grosso do Sul,"Campo Grande -MS, Brazil",1501,1001,601,1251,8011000,8011000,1001,,,,
Federal University of Pará,"Belém, Brazil",1501,601,1001,1001,601,1251,8011000,1001,501,1001,
Federal University of Pelotas,"RS, Brazil",1501,8011000,601,10011250,1001,1001,,,,,
Federal University of Rio Grande do Norte (UFRN),"Natal, Brazil",1501,601,8011000,8011000,601,1251,8011000,1001,501600,1001,
Federal University of Santa Maria,"Bairro Camobi, Brazil",1501,601,801,8011000,1001,601,10011250,8011000,1001,8011000,
Federal University of Technology Akure,"Akure, Nigeria",1501,8011000,1001,8011000,,,,,,,
"Federal University of Technology, Owerri","Owerri, Nigeria",1501,1251,1001,,,,,,,,
Federal University of Uberlândia,"Uberlandia, Brazil",1501,801,601800,1001,601,10011250,8011000,1001,,,
Federal University of Viçosa,Brazil,1501,801,1001,1251,601800,1001,1001,,,,
Federal University Oye-Ekiti,"Oye-Ekiti, Nigeria",1501,,,,,,,,,,
Federico Santa María Technical University,"Valparaiso, Chile",1501,8011000,10011250,1001,,,,,,,
Feng Chia University,"Seatwen, Taiwan",1501,801,8011000,10011250,1001,,,,,,
Ferhat Abbas Sétif University 1,"Setif, Algeria",1501,8011000,1251,1001,,,,,,,
Fluminense Federal University,"Niterói, Brazil",1501,401500,801,8011000,8011000,601,1251,301,8011000,1001,601
Gaziantep University,"27, Türkiye",1501,1001,10011250,601800,,,,,,,
Gdynia Maritime University,"Gdynia, Poland",1501,1251,,,,,,,,,
"George Emil Palade University of Medicine, Pharmacy, Science, and Technology of Targu Mures","Targu Mureș, Romania",1501,8011000,,,,,,,,,
Georgian Technical University,"Tbilisi, Georgia",1501,1001,,,,,,,,,
Georgia Southern University,"Statesboro, United States",1501,801,8011000,8011000,601,8011000,8011000,1001,501600,8011000,
Gheorghe Asachi Technical University of Iaşi,"Iasi, Romania",1501,1251,,,,,,,,,
Giresun University,Türkiye,1501,,,,,,,,,,
GITAM University,"Visakhapatnam, India",1501,801,1001,1001,10011250,1001,1001,,,,
GMR Institute of Technology,"Srikakulam district, India",1501,10011250,,,,,,,,,
Goa University,"GA, India",1501,1001,,,,,,,,,
Grand Valley State University,"Allendale, United States",1501,501600,8011000,,,,,,,,
Grigore T. Popa University of Medicine and Pharmacy,"Iasi, Romania",1501,1001,1251,,,,,,,,
GuangXi Normal University,"Guilin, China",1501,,,,,,,,,,
Gunma University,"Maebashi City, Japan",1501,8011000,1251,,,,,,,,
Guru Ghasidas Vishwavidyalaya,"Bilaspur, India",1501,8011000,1001,,,,,,,,
Halu Oleo University,"Kendari, Indonesia",1501,,,,,,,,,,
Hanoi University of Science and Technology,"Hanoi, Vietnam",1501,601800,10011250,1001,,,,,,,
Harran University,"Sanlıurfa, Türkiye",1501,,,,,,,,,,
Hasanuddin University,"Makassar, Indonesia",1501,1001,1251,1001,1001,8011000,,,,,
Hassiba Benbouali University of Chlef,"Ouled Fares, Algeria",1501,10011250,8011000,,,,,,,,
Hatay Mustafa Kemal University,"Hatay, Türkiye",1501,,,,,,,,,,
Hellenic Open University,"Patra, Greece",1501,801,601,8011000,8011000,,,,,,
Helwan University,"Ain Helwan, Egypt",1501,801,8011000,8011000,10011250,8011000,1001,8011000,,,
Hirosaki University,"Hirosaki-shi, Japan",1501,,,,,,,,,,
Hitit University,"Corum, Türkiye",1501,1001,,,,,,,,,
Hormozgan University of Medical Sciences,"Bandar Abbas, Iran",1501,1001,,,,,,,,,
Hue University,"Hue City, Vietnam",1501,1001,1251,1001,1001,,,,,,
Ibaraki University,"Mito, Japan",1501,1251,1001,1001,,,,,,,
Ibn Khaldoun University,"zaaroura, Algeria",1501,8011000,,,,,,,,,
Instituto Politécnico de Viana do Castelo,"Viana do Castelo, Portugal",1501,801,8011000,8011000,8011000,,,,,,
Instituto Politécnico Nacional (IPN),"Mexico City, Mexico",1501,1251,1001,1001,,,,,,,
Instituto Tecnológico Metropolitano,"Medellin, Colombia",1501,,,,,,,,,,
Institut Teknologi Sepuluh Nopember,"JI, Indonesia",1501,801,8011000,10011250,1001,1001,601800,,,,
International Hellenic University,Greece,1501,801,8011000,8011000,10011250,1001,1001,601800,,,
Ionian University,"Corfu, Greece",1501,1001,8011000,,,,,,,,
IPB University,"Bogor, Indonesia",1501,8011000,,,,,,,,,
Islamic Science University of Malaysia (USIM),"Nilai, Malaysia",1501,,,,,,,,,,
Islamic University of Indonesia,"Yogyakarta, Indonesia",1501,801,1251,1001,,,,,,,
Istanbul Aydın University,"Istanbul, Türkiye",1501,1001,,,,,,,,,
Istanbul Bilgi University,"Eyupsultan, Türkiye",1501,8011000,,,,,,,,,
Istanbul Okan University,"Tuzla, Türkiye",1501,,,,,,,,,,
Ivane Javakhishvili Tbilisi State University,"Tbilisi, Georgia",1501,1001,1001,,,,,,,,
Ivan Franko National University of Lviv,"Lviv, Ukraine",1501,801,1001,1001,,,,,,,
İzmir Kâtip Çelebi University,Türkiye,1501,,,,,,,,,,
Izmir University of Economics,"Balçova, Türkiye",1501,,,,,,,,,,
Jan Evangelista Purkyně University,"Usti nad Labem, Czechia",1501,1001,1001,801,,,,,,,
Jan Kochanowski University in Kielce,"Kielce, Poland",1501,1001,1001,,,,,,,,
"Jaypee Institute of Information Technology, Noida","Noida, India",1501,,,,,,,,,,
Jean Moulin University – Lyon 3,"Lyon, France",1501,601,1001,,,,,,,,
Jember University,"Jember, Indonesia",1501,601,,,,,,,,,
Jianghan University,"Wuhan, China",1501,8011000,1001,1251,1001,1001,,,,,
Jiangsu Normal University,"Jiangsu, China",1501,1001,8011000,601800,8011000,,,,,,
Kagawa University,"Kagawa, Japan",1501,601800,10011250,8011000,,,,,,,
Kagoshima University,"Kagoshima, Japan",1501,8011000,1251,8011000,1001,,,,,,
Kanagawa University,"Yokohama-shi, Japan",1501,1251,1001,,,,,,,,
Kansai University,"Suita-shi, Japan",1501,1001,1251,1001,,,,,,,
Karabük University,"Karabuk, Türkiye",1501,1001,601800,8011000,,,,,,,
Karadeniz Technical University,"Trabzon, Türkiye",1501,1001,8011000,10011250,1001,1001,8011000,,,,
Karamanoğlu Mehmet Bey University,"Karaman, Türkiye",1501,,,,,,,,,,
Karpagam Academy of Higher Education,"Coimbatore, India",1501,8011000,10011250,1001,,,,,,,
Kasetsart University,"Bangkok, Thailand",1501,801,8011000,1001,601,10011250,8011000,1001,1001,,
Kastamonu University,"Kastamonu, Türkiye",1501,601,8011000,8011000,,,,,,,
Kazakh National Agrarian Research University,Kazakhstan,1501,,,,,,,,,,
Kenyatta University,"Nairobi, Kenya",1501,1001,,,,,,,,,
Kharkiv Aviation Institute,"Kharkov, Ukraine",1501,8011000,1251,,,,,,,,
Kharkiv National University of Radio Electronics,"Kharkiv, Ukraine",1501,1001,1251,,,,,,,,
Kirikkale University,"Kirikkale, Türkiye",1501,1001,1251,1001,,,,,,,
Kırşehir Ahi Evran University,"Kirsehir, Türkiye",1501,1001,601,1001,1001,,,,,,
Kitasato University,"Tokyo, Japan",1501,8011000,1001,,,,,,,,
KLE Academy of Higher Education and Research,"Belagavi, India",1501,,,,,,,,,,
KMITL – King Mongkut’s Institute of Technology Ladkrabang,"Bangkok, Thailand",1501,8011000,401500,10011250,1001,1001,,,,,
Kocaeli University,"41, Türkiye",1501,1001,1001,601,1251,1001,1001,1001,,,
Kochi University,"Kochi, Japan",1501,8011000,1001,1001,,,,,,,
Kochi University of Technology,"Kami City, Japan",1501,10011250,1001,,,,,,,,
Kogakuin University,"Shinjuku-ku, Japan",1501,1251,1001,,,,,,,,
Konya Technical University,"Selcuklu, Türkiye",1501,10011250,,,,,,,,,
Kwansei Gakuin University,"Nishinomiya, Japan",1501,1001,,,,,,,,,
Kyiv National University of Construction and Architecture,"Kyiv, Ukraine",1501,,,,,,,,,,
Kyoto Institute of Technology,"Kyoto, Japan",1501,1001,10011250,,,,,,,,
Ladoke Akintola University of Technology,"Ogbomoso, Nigeria",1501,1001,8011000,1001,8011000,,,,,,
Lagos State University,"Ojo, Nigeria",1501,1001,,,,,,,,,
Larbi Tebessi University,"Tebessa, Algeria",1501,1001,,,,,,,,,
Latvia University of Life Sciences and Technologies,"Jelgava, Latvia",1501,1251,1001,8011000,,,,,,,
Lincoln University College,"Selangor Darul Ehsan, Malaysia",1501,,,,,,,,,,
Liverpool Hope University,"Liverpool, United Kingdom",1501,,,,,,,,,,
L.N. Gumilyov Eurasian National University,"AST, Kazakhstan",1501,601,801,1001,601,10011250,1001,8011000,,,
Lodz University of Technology,Poland,1501,801,8011000,10011250,8011000,1001,,,,,
Londrina State University,Brazil,1501,8011000,601,10011250,8011000,1001,601,1001,,,
Lublin University of Technology,"Lublin, Poland",1501,1001,10011250,,,,,,,,
Lucian Blaga University of Sibiu,"Sibiu, Romania",1501,601,801,1251,8011000,,,,,,
Lviv Polytechnic National University,"Lviv, Ukraine",1501,801,8011000,1251,1001,1001,,,,,
Mackenzie Presbyterian University,"SP, Brazil",1501,,,,,,,,,,
Maejo University,"Chiang Mai, Thailand",1501,601800,,,,,,,,,
Mahasarakham University,"44, Thailand",1501,1001,1251,1001,1001,,,,,,
Manav Rachna International Institute of Research and Studies,"Faridabad, India",1501,8011000,8011000,,,,,,,,
Manisa Celal Bayar University,"Yerleşkesi, Türkiye",1501,1001,1251,,,,,,,,
Mapúa University,"Manila, Philippines",1501,8011000,10011250,8011000,,,,,,,
Maria Curie-Skłodowska University (UMCS),"Lublin, Poland",1501,601,301,8011000,1001,1001,,,,,
Marmara University,Türkiye,1501,801,8011000,8011000,601,10011250,8011000,1001,8011000,,
Matej Bel University,"Banska Bystrica, Slovakia",1501,801,8011000,,,,,,,,
Medical University of Sofia,"Sofia, Bulgaria",1501,8011000,8011000,,,,,,,,
Meiji University,"Chiyoda-ku, Japan",1501,1001,1251,1001,1001,,,,,,
Meijo University,"Nagoya, Japan",1501,1251,1001,,,,,,,,
Mersin University,"33, Türkiye",1501,1001,601,1251,1001,,,,,,
Metropolitan Autonomous University,"Ciudad de México, Mexico",1501,601,801,8011000,1001,601,1251,8011000,1001,8011000,
M’Hamed Bougara University of Boumerdès,"Boumerdes, Algeria",1501,1251,1001,,,,,,,,
Middle Technical University,"Baghdad, Iraq",1501,8011000,1251,,,,,,,,
Mie University,"Tsu City, Japan",1501,8011000,1251,8011000,,,,,,,
Military Institute of Science and Technology (MIST),Bangladesh,1501,,,,,,,,,,
Mindanao State University – Iligan Institute of Technology,"Iligan City, Philippines",1501,8011000,,,,,,,,,
Ming Chuan University,"Taipei City, Taiwan",1501,801,8011000,,,,,,,,
Mirpur University of Science and Technology,"Mirpur, Pakistan",1501,8011000,8011000,,,,,,,,
Misr University for Science and Technology,"6th of october, Egypt",1501,1001,,,,,,,,,
Morgan State University,"Baltimore, United States",1501,601,1001,1001,,,,,,,
Moulay Ismail University,"Meknes, Morocco",1501,601800,8011000,8011000,1001,,,,,,
M S Ramaiah University of Applied Sciences (RUAS),"Bangalore, India",1501,1251,1001,,,,,,,,
Mugla Sitki Kocman University,Türkiye,1501,1001,601,1251,1001,1001,,,,,
Muhimbili University of Health and Allied Sciences,"Dar es Salaam, Tanzania",1501,1001,,,,,,,,,
Muroran Institute of Technology,"Hokkaido, Japan",1501,1251,,,,,,,,,
Muş Alparslan University,"Muş, Türkiye",1501,,,,,,,,,,
Mustansiriyah University,"Baghdad, Iraq",1501,1001,1001,1251,1001,1001,,,,,
Nagaoka University of Technology,"Niigata, Japan",1501,10011250,,,,,,,,,
Nagoya Institute of Technology,"Nagoya City, Japan",1501,8011000,8011000,1001,,,,,,,
Naresuan University,"65, Thailand",1501,1001,1251,8011000,1001,,,,,,
National Changhua University of Education,"Changhua City, Taiwan",1501,301400,1251,1001,,,,,,,
National Chiayi University,"CYI, Taiwan",1501,1001,1001,,,,,,,,
National Chi Nan University,"Puli, Taiwan",1501,1251,,,,,,,,,
National Chin-Yi University of Technology,"Taiping District, Taiwan",1501,1001,8011000,,,,,,,,
National Formosa University,"Huwei Township, Taiwan",1501,1001,1251,,,,,,,,
National Ilan University,"Yilan City, Taiwan",1501,10011250,,,,,,,,,
"National Institute of Applied Sciences, Strasbourg (INSA Strasbourg)","Strasbourg, France",1501,10011250,,,,,,,,,
National Pingtung University of Science and Technology,"Neipu, Taiwan",1501,1251,8011000,,,,,,,,
"National Pirogov Memorial Medical University, Vinnytsya","Vinnytsia, Ukraine",1501,,,,,,,,,,
National Taipei University,"TPQ, Taiwan",1501,801,8011000,,,,,,,,
National Technical University Kharkiv Polytechnic Institute,"Kharkiv, Ukraine",1501,801,1001,1251,1001,,,,,,
National Technical University of Ukraine – Igor Sikorsky Kyiv Polytechnic Institute,Ukraine,1501,801,1001,1251,1001,,,,,,
National United University,"Miaoli, Taiwan",1501,1251,,,,,,,,,
National University of Colombia,"Bogota, Colombia",1501,601,801,601800,1001,601,1251,8011000,1001,8011000,
National University of Córdoba,"Cordoba, Argentina",1501,601,8011000,1251,8011000,1001,601,1001,,,
National University of Costa Rica,"Heredia, Costa Rica",1501,601,1001,,,,,,,,
National University of Cuyo,"Ciudad de Mendoza, Argentina",1501,601,1251,1001,1001,1001,,,,,
National University of Kaohsiung,"Kaohsiung, Taiwan",1501,601800,1251,1001,,,,,,,
National University of La Plata,"La Plata, Argentina",1501,601,801,8011000,1001,601,1251,601800,1001,8011000,
National University of Life and Environmental Sciences of Ukraine,"Kyiv, Ukraine",1501,801,1001,10011250,1001,,,,,,
National University of Medical Sciences (NUMS),"Rawalpindi, Pakistan",1501,1001,,,,,,,,,
National University of Mongolia,"Ulaanbaatar, Mongolia",1501,1001,,,,,,,,,
National University of Quilmes,"Buenos Aires, Argentina",1501,,,,,,,,,,
National University of Rosario (UNR),"Rosario, Argentina",1501,,,,,,,,,,
National University of San Martín,"San Martin, Argentina",1501,601,601800,1001,,,,,,,
NED University of Engineering and Technology,"Karachi, Pakistan",1501,1251,1001,,,,,,,,
Niğde Ömer Halisdemir University,"Nigde, Türkiye",1501,10011250,8011000,1001,,,,,,,
Nihon University,"Tokyo, Japan",1501,,,,,,,,,,
Nile University,"El Sheikh Zayed, Egypt",1501,8011000,10011250,,,,,,,,
Nnamdi Azikiwe University,"Awka, Nigeria",1501,1001,8011000,8011000,1001,,,,,,
Northern Technical University,"Nineveh, Iraq",1501,1251,,,,,,,,,
North Khorasan University of Medical Sciences,"Bojnourd, Iran",1501,,,,,,,,,,
Nueva Granada Military University,"Bogata, Colombia",1501,,,,,,,,,,
Obafemi Awolowo University,"Ife, Nigeria",1501,601800,8011000,1251,1001,1001,8011000,,,,
Ochanomizu University,"Tokyo, Japan",1501,1001,,,,,,,,,
October University for Modern Sciences and Arts (MSA),"Giza, Egypt",1501,,,,,,,,,,
Odesa I.I. Mechnikov National University,"Odessa, Ukraine",1501,1001,,,,,,,,,
Oita University,"Oita, Japan",1501,8011000,,,,,,,,,
Okayama University of Science,"Okayama, Japan",1501,1001,1001,,,,,,,,
Oles Honchar Dnipro National University,"Dnipro, Ukraine",1501,1251,1001,,,,,,,,
Ondokuz Mayis University,"Samsun, Türkiye",1501,1001,601,10011250,1001,1001,1001,,,,
Oran 1 University,"Oran, Algeria",1501,1251,1001,,,,,,,,
Ordu University,"Altınordu/Ordu, Türkiye",1501,1001,8011000,,,,,,,,
Osaka Institute of Technology,"Osaka, Japan",1501,1251,,,,,,,,,
Osaka Medical and Pharmaceutical University,"Takatsuki, Japan",1501,8011000,,,,,,,,,
Ovidius University of Constanța,"Constanta, Romania",1501,1001,1001,,,,,,,,
Pace University-New York,"New York, United States",1501,601,401500,8011000,,,,,,,
Paisii Hilendarski University of Plovdiv,"Plovdiv, Bulgaria",1501,,,,,,,,,,
Pamukkale University,"Pamukkale, Türkiye",1501,801,1001,601,1251,1001,,,,,
Paris Nanterre University,"Nanterre, France",1501,201250,801,601,201250,501600,8011000,,,,
Payame Noor University,"Tehran, Iran",1501,10011250,1001,1001,1001,,,,,,
Pazmany Peter Catholic University,"Budapest, Hungary",1501,,,,,,,,,,
Polytechnic Institute of Porto,"Porto, Portugal",1501,801,601800,601,8011000,,,,,,
Polytechnic Institute of Setúbal,"Setubal, Portugal",1501,,,,,,,,,,
Polytechnic University of Bucharest,"Bucuresti, Romania",1501,10011250,,,,,,,,,
Polytechnic University of Timişoara,"Timisoara, Romania",1501,1001,10011250,,,,,,,,
Pontifical Catholic University of Argentina,"Buenos Aires, Argentina",1501,,,,,,,,,,
Pontifical Catholic University of Minas Gerais,"Belo Horizonte, Brazil",1501,1001,1001,,,,,,,,
Pontifical Catholic University of Peru,"San Miguel, Peru",1501,601,801,1001,601,1251,301,1001,601,8011000,
Pontifical Catholic University of Valparaíso,"Valparaiso, Chile",1501,601,8011000,501600,10011250,301,8011000,1001,8011000,,
Pontificia Universidad Católica del Ecuador,"Quito, Ecuador",1501,8011000,1001,,,,,,,,
Pontificia Universidad Javeriana,"Bogota, Colombia",1501,601,801,8011000,1001,401500,1251,301,8011000,1001,601
Poznan University of Technology,"Poznan, Poland",1501,801,8011000,10011250,8011000,,,,,,
Presidency University,"Bengaluru, India",1501,,,,,,,,,,
PSG College of Technology,"Coimbatore, India",1501,8011000,1251,1001,,,,,,,
Qom University of Medical Sciences,"Qom, I.R, Iran",1501,8011000,,,,,,,,,
Razi University,"Kermanshah, Iran",1501,8011000,8011000,1001,,,,,,,
Recep Tayyip Erdoğan University,"Rize, Türkiye",1501,1001,601,8011000,1001,1001,,,,,
Regional Autonomous University of the Andes (UNIANDES),"Ambato, Ecuador",1501,,,,,,,,,,
REVA University,"Yelahanka, India",1501,601800,10011250,8011000,,,,,,,
Rikkyo University,"Tokyo, Japan",1501,1001,,,,,,,,,
Ritsumeikan University,"Kyoto, Japan",1501,801,8011000,601800,501600,8011000,1001,1001,601,8011000,
R V College of Engineering,"Bengaluru, India",1501,1001,1251,,,,,,,,
Ryukoku University,"Kyoto, Japan",1501,,,,,,,,,,
Rzeszów University of Technology,"Rzeszów, Poland",1501,601800,1001,1251,,,,,,,
Sabzevar University of Medical Sciences,"Sabzevar, Iran",1501,,,,,,,,,,
Saga University,"Saga City, Japan",1501,8011000,1251,8011000,,,,,,,
Saints Cyril and Methodius University in Skopje,"1000 Skopje, North Macedonia",1501,8011000,1001,1251,8011000,1001,1001,,,,
Saitama Medical University,"Moroyama, Japan",1501,8011000,,,,,,,,,
Saitama University,"Saitama City, Japan",1501,10011250,8011000,1001,,,,,,,
Sakarya University of Applied Sciences,"Sakarya, Türkiye",1501,,,,,,,,,,
Satbayev University,"ALA, Kazakhstan",1501,1251,1001,,,,,,,,
SGH Warsaw School of Economics,"Warsaw, Poland",1501,601800,601800,,,,,,,,
Shahed University,"Tehran, Iran",1501,8011000,1001,,,,,,,,
Shahid Sadoughi University of Medical Sciences,"Yazd, Iran",1501,8011000,,,,,,,,,
Shanxi Medical University,"Taiyuan, China",1501,1001,8011000,1001,,,,,,,
Shibaura Institute of Technology,"Koto, Japan",1501,8011000,10011250,1001,,,,,,,
Shimane University,"Shimane, Japan",1501,8011000,1251,8011000,1001,,,,,,
Shizuoka University,"Surugaku, Japan",1501,1001,10011250,1001,1001,,,,,,
Shree Guru Gobind Singh Tricentenary University,"Gurugram, India",1501,,,,,,,,,,
Sikkim Manipal University,"Tadong Gangtok, India",1501,10011250,,,,,,,,,
Silpakorn University,"Bangkok, Thailand",1501,10011250,1001,1001,,,,,,,
Sinop University,"Sinop, Türkiye",1501,,,,,,,,,,
