Name,Geo,World University Rankings 2026,Arts and Humanities 2025,Business and Economics 2025,Medical and Health 2025,Computer Science 2025,Education Studies 2025,Engineering 2025,Law 2025,Life Sciences 2025,Physical Sciences 2025,Social Sciences 2025
Altınbaş University,"Bagcilar, Türkiye",1501,,,,,,,,,,
Alzahra University,"Tehran, Iran",1501,8011000,1001,,,,,,,,
Amity University - Kolkata,"Kadampukur, India",1501,,,,,,,,,,
Anáhuac University,"Huixquilucan de Degollado, Mexico",1501,,,,,,,,,,
Ankara Yildirim Beyazit University,"Etlik-Keçiören, Türkiye",1501,601800,1001,10011250,8011000,,,,,,
Antonio Nariño University,"Bogota, Colombia",1501,8011000,,,,,,,,,
Aoyama Gakuin University,"Tokyo, Japan",1501,1251,1001,,,,,,,,
Arak University,"Arak, Iran",1501,10011250,601800,1001,,,,,,,
Atılım University,Türkiye,1501,10011250,1001,,,,,,,,
Atma Jaya Catholic University of Indonesia,"Kota Jakarta Selatan, Indonesia",1501,,,,,,,,,,
Austral University of Chile,"Valdivia, Chile",1501,601,1001,601,1251,301,8011000,1001,8011000,,
Autonomous University of Baja California,"Mexicali, Mexico",1501,1001,1001,601,1251,1001,1001,1001,,,
Autonomous University of Guerrero (UAGro),"Chilpancingo, Mexico",1501,,,,,,,,,,
Aydın Adnan Menderes University,"Aydin, Türkiye",1501,8011000,601,1001,1001,,,,,,
Azerbaijan State Oil and Industry University,"Baku, Azerbaijan",1501,1251,,,,,,,,,
Azerbaijan Technical University (AzTU),"Baku, Azerbaijan",1501,,,,,,,,,,
Babcock University,"Ilishan-Remo, Nigeria",1501,,,,,,,,,,
Badji Mokhtar University – Annaba,"Annaba, Algeria",1501,8011000,10011250,1001,1001,,,,,,
Baku State University,"Baku, Azerbaijan",1501,10011250,1001,,,,,,,,
Balikesir University,"Balikesir, Türkiye",1501,,,,,,,,,,
"Balochistan University of Information Technology, Engineering and Management Sciences (BUITEMS)","Baleli, Pakistan",1501,10011250,1001,,,,,,,,
Başkent University,"Etimesgut, Türkiye",1501,1001,,,,,,,,,
Benemérita Universidad Autónoma de Puebla,"Puebla, Mexico",1501,1001,1001,601,1251,1001,1001,801,,,
Bernardo O’Higgins University,"Santiago, Chile",1501,,,,,,,,,,
Beykent University,"Sarıyer, Türkiye",1501,,,,,,,,,,
Bezmiâlem Vakif University,"Fatih, Türkiye",1501,1001,,,,,,,,,
Bharati Vidyapeeth University,"Pune, India",1501,1001,1251,,,,,,,,
Bialystok University of Technology,"Bialystok, Poland",1501,801,1001,1251,,,,,,,
Bilecik Şeyh Edebali University,"11, Türkiye",1501,1251,1001,,,,,,,,
Blida 1 University,"Blida, Algeria",1501,1251,1001,,,,,,,,
Bogomolets National Medical University,"Kyiv, Ukraine",1501,1001,,,,,,,,,
Bolu Abant Izzet Baysal University,"Bolu, Türkiye",1501,1001,601,8011000,1001,1001,,,,,
Bozok University,"Yozgat, Türkiye",1501,1001,8011000,8011000,,,,,,,
B. S. Abdur Rahman Crescent Institute of Science and Technology,"Chennai, India",1501,10011250,,,,,,,,,
Burapha University - Chon Buri Campus,"Chonburi, Thailand",1501,1001,1001,1001,,,,,,,
Burdur Mehmet Akif Ersoy University,"Burdur, Türkiye",1501,1001,,,,,,,,,
Bursa Technical University,"Yıldırım, Türkiye",1501,1251,,,,,,,,,
Bursa Uludağ University,"Bursa, Türkiye",1501,8011000,601,10011250,1001,1001,1001,,,,
Canakkale Onsekiz Mart University,"Canakkale, Türkiye",1501,,,,,,,,,,
Çankırı Karatekin University,"18, Türkiye",1501,1001,,,,,,,,,
Cardinal Stefan Wyszynski University in Warsaw,"Warsaw, Poland",1501,,,,,,,,,,
Catholic University of Brasília,"Taguatinga, Brazil",1501,1001,,,,,,,,,
Catholic University of the North,"AN, Chile",1501,601,1251,8011000,1001,501600,501600,,,,
Ceará State University,"Fortaleza-CE, Brazil",1501,1001,1001,1001,1001,,,,,,
Central University of Venezuela,"Caracas, Venezuela",,,,,,,,,,,
Centro Federal de Educação Tecnológica Celso Suckow da Fonseca (CEFET-RJ),"Rio de Janeiro, Brazil",1501,1251,1001,,,,,,,,
Centurion University of Technology and Management,"Dist: Khurda, India",1501,,,,,,,,,,
CES University,"Medellín, Colombia",1501,1001,,,,,,,,,
CEU Universities,"M, Spain",1501,251300,501600,601,,,,,,,
Chang Gung University of Science and Technology,"Taoyuan, Taiwan",1501,8011000,8011000,,,,,,,,
