Name,Geo,World University Rankings 2026,Arts and Humanities 2025,Business and Economics 2025,Medical and Health 2025,Computer Science 2025,Education Studies 2025,Engineering 2025,Law 2025,Life Sciences 2025,Physical Sciences 2025,Social Sciences 2025
University of Oxford,"Oxford, United Kingdom",1,3,2,1,1,3,4,7,4,8,2
Massachusetts Institute of Technology,"Cambridge, United States",2,1,1,3,3,3,4,1,,,
Princeton University,"Princeton, United States",3,6,6,8,7,5,3,5,,,
University of Cambridge,"Cambridge, United Kingdom",3,2,5,3,2,4,6,4,2,7,2
Harvard University,"Cambridge, United States",5,5,7,2,10,5,1,2,1,2,4
Stanford University,"Stanford, United States",5,4,3,6,5,1,2,1,5,2,1
California Institute of Technology,"Pasadena, United States",7,15,7,10,1,39,,,,,
Imperial College London,"London, United Kingdom",8,4,8,12,12,14,,,,,
"University of California, Berkeley","Berkeley, United States",9,7,8,11,8,2,5,6,8,6,5
Yale University,"New Haven, United States",10,10,11,6,24,18,9,6,12,7,11
ETH Zurich,"Zurich, Switzerland",11,40,19,42,4,10,12,9,22,,
Tsinghua University,"Beijing, China",12,39,6,15,13,7,13,19,15,12,20
Peking University,"Haidian District, China",13,38,4,25,12,8,11,14,11,11,18
University of Pennsylvania,"Philadelphia, United States",14,15,13,10,36,16,34,24,16,28,8
The University of Chicago,"Chicago, United States",15,9,9,26,40,8,19,16,11,13,
Johns Hopkins University,"Baltimore, United States",16,49,67,5,25,30,37,9,33,20,25
National University of Singapore,"Singapore, Singapore",17,25,12,17,11,9,12,21,10,45,17
Cornell University,"Ithaca, United States",18,32,18,17,16,24,34,18,18,29,19
"University of California, Los Angeles","Los Angeles, United States",18,14,20,14,17,13,16,25,22,17,11
Columbia University,"New York, United States",20,12,14,16,26,18,28,5,14,15,14
University of Toronto,"Toronto, Canada",21,16,24,9,23,9,23,22,26,30,11
UCL,"London, United Kingdom",22,7,22,8,34,10,48,10,20,38,6
University of Michigan-Ann Arbor,"Ann Arbor, United States",23,20,21,18,41,12,19,18,27,24,10
Carnegie Mellon University,"Pittsburgh, United States",24,89,26,6,20,101125,57,24,101125,,
University of Washington,"Seattle, United States",25,78,42,19,18,32,51,126150,24,23,43
The University of Tokyo,"Tokyo, Japan",26,67,28,27,37,24,31,30,25,72,35
Technical University of Munich,"Munich, Germany",27,101125,31,53,14,42,22,34,19,,
Duke University,"Durham, United States",28,36,15,23,57,63,23,23,52,26,33
University of Edinburgh,"Edinburgh, United Kingdom",29,11,73,21,29,27,76,16,29,40,23
Northwestern University,"Evanston, United States",30,101125,16,46,85,51,32,52,51,36,21
"Nanyang Technological University, Singapore",Singapore,31,101125,36,85,19,18,14,49,26,101125,47
New York University,"New York, United States",31,17,17,49,27,23,99,3,41,47,16
University of Hong Kong,"Pokfulam, Hong Kong SAR China",33,60,46,21,53,6,39,30,45,41,57
LMU Munich,"Munich, Germany",34,13,34,45,55,46,26,43,28,27,67
École Polytechnique Fédérale de Lausanne,"Lausanne, Switzerland",35,20,21,55,20,,,,,,
Fudan University,"Shanghai, China",36,126150,27,40,58,101125,43,39,22,301400,98
University of Melbourne,"Parkville, Australia",37,48,40,20,50,16,69,11,35,79,25
King’s College London,"Westminster, United Kingdom",38,24,59,12,91,35,126150,27,32,92,9
Zhejiang University,China,39,151175,41,76,32,62,27,40,46,60,201250
Shanghai Jiao Tong University,"Shanghai, China",40,101125,25,56,33,26,39,56,41,89,
Georgia Institute of Technology,"Atlanta, United States",41,151175,75,22,15,100,49,101125,151175,,
McGill University,"Montreal, Canada",41,51,84,29,76,38,73,33,40,66,21
The Chinese University of Hong Kong,Hong Kong SAR China,41,88,47,24,30,11,56,59,81,61,67
University of Illinois at Urbana-Champaign,"Urbana, United States",41,92,55,176200,21,29,25,101125,86,41,48
University of British Columbia,"Vancouver, Canada",45,53,29,28,51,25,49,41,33,56,17
KU Leuven,"Leuven, Belgium",46,18,49,41,44,44,50,15,52,74,19
"University of California, San Diego","La Jolla, United States",47,73,35,34,35,56,42,25,41,33,53
Paris Sciences et Lettres – PSL Research University Paris,"Paris, France",48,22,101125,38,79,126150,78,21,79,,
Heidelberg University,"Heidelberg, Germany",49,37,38,101125,50,36,39,73,74,,
University of Texas at Austin,"Austin, United States",50,55,51,101125,31,21,29,66,101125,37,33
University of Science and Technology of China,"Hefei, China",51,94,52,46,85,31,,,,,
London School of Economics and Political Science,"London, United Kingdom",52,31,10,13,401500,53,9,,,,
Karolinska Institute,"Stockholm, Sweden",53,13,31,29,,,,,,,
The University of Sydney,"Sydney, Australia",53,45,71,35,69,21,61,47,47,85,50
University of Wisconsin-Madison,"Madison, United States",53,79,54,92,63,14,74,151175,44,45,39
University of Manchester,"Manchester, United Kingdom",56,43,32,48,68,84,45,78,53,55,81
Delft University of Technology,"Delft, Netherlands",57,26,201250,45,101125,17,176200,66,60,,
Monash University,"Clayton, Australia",58,81,67,31,61,19,59,74,57,101125,63
Seoul National University,"Seoul, South Korea",58,151175,75,44,49,65,40,63,70,101125,
The Hong Kong University of Science and Technology,Hong Kong SAR China,58,126150,33,28,33,101125,64,101125,,,
Kyoto University,"Kyoto, Japan",61,101125,90,46,67,52,43,37,54,87,72
Nanjing University,"Nanjing, China",62,151175,101125,86,66,58,74,31,126150,,
University of Amsterdam,"Amsterdam, Netherlands",62,30,77,37,72,86,20,83,76,15,18
"University of California, Davis","Davis, United States",64,126150,60,71,101125,101125,85,101125,28,90,33
Brown University,"Providence, United States",65,57,37,61,71,101125,90,101125,50,44,64
Wageningen University & Research,Netherlands,66,126150,101125,16,101125,36,,,,,
Washington University in St Louis,"Saint Louis, United States",67,201250,126150,32,201250,201250,201250,38,126150,57,79
Institut Polytechnique de Paris,"Palaiseau, France",68,101125,42,96,126150,27,,,,,
Université Paris-Saclay,"Gif-sur-Yvette, France",68,201250,176200,93,54,126150,201250,59,35,151175,
Korea Advanced Institute of Science and Technology (KAIST),"Daejeon, South Korea",70,201250,176200,39,35,87,82,301400,,,
Leiden University,"Leiden, Netherlands",70,21,62,21,75,59,45,,,,
"University of California, Santa Barbara","Santa Barbara, United States",72,84,62,99,47,101125,34,80,64,,
The Australian National University,"Canberra, Australia",73,65,81,101125,81,101125,31,71,59,101125,29
City University of Hong Kong,"Kowloon, Hong Kong SAR China",73,101125,48,57,59,42,96,65,61,,
University of Southern California,"Los Angeles, United States",73,87,49,54,64,64,101125,77,88,126150,78
Boston University,"Boston, United States",76,126150,45,36,101125,101125,126150,83,64,101125,59
Sorbonne University,"Paris, France",76,27,81,77,201250,151175,62,48,101125,,
University of North Carolina at Chapel Hill,"Chapel Hill, United States",78,90,75,30,101125,56,126150,101125,50,151175,38
UNSW Sydney,"Sydney, Australia",79,101125,98,71,84,60,51,35,89,82,69
The Hong Kong Polytechnic University,"Hung Hom, Hong Kong SAR China",80,101125,37,151175,74,41,151175,97,68,,
The University of Queensland,"Brisbane, Australia",80,126150,65,57,101125,40,68,95,42,87,28
University of Bristol,"Bristol, United Kingdom",80,85,151175,54,101125,43,100,60,81,63,65
University of Groningen,"Groningen, Netherlands",82,66,56,63,126150,63,126150,73,82,80,41
University of Glasgow,"Glasgow City, United Kingdom",84,56,99,50,151175,96,176200,44,77,151175,52
Purdue University West Lafayette,"West Lafayette, United States",85,176200,71,176200,47,47,30,73,89,64,101125
Yonsei University (Seoul campus),"Seodaemun, South Korea",86,251300,87,60,97,101125,80,101125,126150,101125,101125
Sungkyunkwan University (SKKU),"Jongno-gu, South Korea",87,201250,97,50,86,201250,70,126150,126150,151175,201250
University of Minnesota,"Minneapolis, United States",88,126150,39,65,201250,70,101125,92,84,92,30
Humboldt University of Berlin,Germany,89,18,201250,101125,28,78,73,40,40,,
