Name,Geo,World University Rankings 2026,Arts and Humanities 2025,Business and Economics 2025,Medical and Health 2025,Computer Science 2025,Education Studies 2025,Engineering 2025,Law 2025,Life Sciences 2025,Physical Sciences 2025,Social Sciences 2025
University of Copenhagen,"Copenhagen, Denmark",90,60,64,126150,48,101125,101125,50,,,
Charité - Universitätsmedizin Berlin,"Berlin, Germany",91,32,,,,,,,,,
RWTH Aachen University,"Aachen, Germany",92,201250,126150,60,36,71,,,,,
University of Bonn,Germany,92,151175,69,151175,95,95,95,46,301400,176200,
Vanderbilt University,"Nashville, United States",92,201250,101125,59,176200,28,176200,61,68,176200,32
Lund University,"Lund, Sweden",95,74,87,83,251300,151175,36,75,85,201250,46
University of Vienna,"Vienna, Austria",95,23,101125,126150,70,45,97,101125,51,44,
"University of California, Irvine","Irvine, United States",97,101125,201250,126150,75,44,87,66,101125,69,42
KTH Royal Institute of Technology,"Stockholm, Sweden",98,69,37,101125,,,,,,,
University of Birmingham,"Birmingham, United Kingdom",98,63,101125,66,176200,73,96,101125,101125,101125,70
University of Tübingen,"Tubingen, Germany",98,33,98,86,58,66,176200,53,126150,,
Aarhus University,"Aarhus, Denmark",101,46,126150,77,98,85,176200,126150,65,126150,82
Emory University,"Atlanta, United States",102,101125,201250,43,151175,68,201250,101125,126150,,
Rice University,"Houston, United States",103,176200,126150,101125,89,151175,78,126150,151175,,
Tohoku University,"Sendai, Japan",103,251300,101125,101125,62,89,95,251300,,,
Michigan State University,"East Lansing, United States",105,126150,53,201250,93,15,151175,151175,94,94,61
University of Helsinki,"Helsinki, Finland",105,42,101125,176200,50,63,71,101125,126150,87,
Erasmus University Rotterdam,"Rotterdam, Netherlands",107,151175,23,52,93,81,,,,,
Ohio State University (Main campus),"Columbus, United States",108,126150,101125,101125,151175,36,101125,176200,126150,101125,48
Penn State (Main campus),United States,108,126150,92,151175,101125,31,76,101125,126150,58,46
University of Bern,"Bern, Switzerland",108,101125,201250,67,251300,176200,126150,101125,101125,101125,
The University of Sheffield,"Sheffield, United Kingdom",108,76,151175,101125,151175,101125,96,151175,99,126150,101125
University of Massachusetts,"Boston, United States",112,92,52,99,48,37,55,58,72,98,101125
Free University of Berlin,"Berlin, Germany",113,29,151175,151175,126150,70,80,101125,72,42,
University of Oslo,"Oslo, Norway",113,60,101125,126150,53,36,126150,126150,126150,59,
Ghent University,"Ghent, Belgium",115,69,151175,96,151175,54,101125,49,48,126150,46
McMaster University,"Hamilton, Canada",116,251300,201250,39,251300,176200,101125,401500,95,201250,
"University of Maryland, College Park","College Park, United States",116,151175,87,201250,56,48,101125,151175,62,68,70
University of Leeds,"Leeds, United Kingdom",118,64,101125,101125,201250,89,126150,78,98,101125,126150
University of Alberta,Canada,119,151175,101125,74,80,76,88,126150,100,126150,126150
University of Basel,"Basel, Switzerland",120,126150,84,201250,93,201250,176200,126150,,,
Technical University of Denmark,"Lyngby, Denmark",121,176200,101125,57,101125,101125,,,,,
University of Göttingen,"Gottingen, Germany",122,101125,151175,301400,101125,60,77,176200,176200,,
University of Warwick,"Coventry, United Kingdom",122,59,30,126150,101125,101125,151175,71,176200,101125,100
Wuhan University,"Wuhan, China",122,201250,151175,97,101125,91,89,101125,97,151175,
University of Hamburg,"Hamburg, Germany",125,97,126150,126150,401500,82,66,151175,101125,101125,151175
University of Lausanne,"Lausanne, Switzerland",125,151175,126150,101125,126150,101125,301400,101125,126150,,
University of Rochester,"Rochester, United States",127,251300,151175,100,126150,126150,251300,176200,126150,72,176200
Uppsala University,"Uppsala, Sweden",128,75,201250,101125,251300,201250,201250,126150,54,126150,176200
University of Southampton,"Southampton, United Kingdom",129,126150,101125,101125,151175,101125,101125,176200,126150,100,101125
University of Bologna,"Bologna, Italy",130,43,92,101125,94,176200,251300,38,176200,201250,151175
Harbin Institute of Technology,"Harbin, China",131,301400,126150,98,54,176200,,,,,
Maastricht University,"Maastricht, Netherlands",131,176200,83,58,401500,26,29,126150,401500,55,126150
Adelaide University,"Adelaide, Australia",133,,,,,,,,,,
Beijing Normal University,"Haidian District, China",134,301400,126150,301400,20,151175,151175,95,37,151175,
Queen Mary University of London,"London, United Kingdom",134,101125,251300,69,126150,126150,46,101125,151175,201250,
University of Florida,"Gainesville, United States",134,201250,101125,91,151175,68,176200,81,67,151175,82
Scuola Normale Superiore di Pisa,"PI, Italy",137,101125,81,176200,,,,,,,
University of Arizona,"Tucson, United States",138,151175,176200,151175,401500,151175,176200,251300,201250,50,101125
University of Freiburg,"Freiburg, Germany",138,80,101125,101125,101125,176200,70,151175,151175,176200,
National Taiwan University (NTU),"Taipei City, Taiwan",140,251300,126150,80,101125,95,151175,251300,201250,201250,
Pohang University of Science and Technology (POSTECH),"Pohang, South Korea",141,126150,72,126150,126150,,,,,,
Tongji University,"Shanghai, China",141,101125,101125,176200,201250,301400,51,176200,176200,251300,
University of Liverpool,"London, United Kingdom",143,151175,151175,90,176200,126150,151175,126150,151175,126150,151175
Newcastle University,"Newcastle upon Tyne, United Kingdom",144,101125,201250,86,201250,201250,201250,176200,101125,201250,126150
Case Western Reserve University,"Cleveland, United States",145,301400,251300,82,201250,201250,201250,301400,251300,401500,
University of Barcelona,"Barcelona, Spain",145,77,301400,73,101125,301400,126150,101125,176200,101125,101125
University of Macau,Macao SAR China,145,301400,251300,151175,126150,126150,126150,176200,151175,176200,126150
University of Nottingham,"Nottingham, United Kingdom",145,101125,77,79,201250,54,101125,57,101125,151175,89
University of Technology Sydney,"Sydney, Australia",145,201250,126150,151175,83,98,101125,101125,201250,126150,201250
Université de Montréal,"Montreal, Canada",150,99,79,93,46,80,176200,101125,126150,201250,126150
Texas A&M University,"College Station, United States",151,201250,64,201250,101125,87,64,176200,101125,101125,201250
The University of Osaka,"Suita, Japan",151,401500,251300,70,151175,301400,101125,61,176200,301400,301400
The University of Western Australia,"Perth, Australia",153,201250,201250,126150,251300,101125,151175,201250,76,151175,101125
Radboud University Nijmegen,"Nijmegen, Netherlands",154,101125,201250,101125,151175,126150,126150,126150,33,176200,
University of York,"York, United Kingdom",154,54,101125,101125,201250,101125,251300,126150,151175,301400,65
Korea University,"Seongbuk-gu, South Korea",156,301400,101125,151175,96,101125,100,176200,151175,151175,251300
University of Auckland,"Auckland, New Zealand",156,101125,151175,126150,151175,34,101125,151175,151175,251300,79
University of Pittsburgh-Pittsburgh campus,"Pittsburgh, United States",156,58,251300,67,251300,80,251300,201250,91,201250,101125
University of Colorado Boulder,United States,159,251300,301400,151175,95,126150,126150,151175,53,151175,151175
Southern University of Science and Technology (SUSTech),"Shenzhen, China",160,301400,201250,176200,126150,126150,126150,,,,
Technical University of Berlin,"Berlin, Germany",160,151175,151175,65,85,90,126150,,,,
University of St Andrews,"St. Andrews, United Kingdom",162,35,301400,201250,601800,101125,126150,94,151175,,
University of Waterloo,"Waterloo, Canada",162,301400,126150,201250,43,78,251300,126150,126150,176200,
University of Cape Town,"Rondebosch, South Africa",164,201250,251300,78,601800,91,601800,101125,151175,301400,201250
University of Cologne,"Cologne, Germany",164,95,126150,151175,601800,151175,53,101125,251300,126150,151175
Institute of Science Tokyo,"Meguro-ku, Japan",166,,,,,,,,,,
Karlsruhe Institute of Technology,"Karlsruhe, Germany",166,201250,151175,78,71,176200,88,,,,
Macquarie University,"Sydney, Australia",166,151175,126150,151175,126150,91,176200,151175,176200,151175,96
University of Geneva,"Geneve, Switzerland",166,94,201250,126150,251300,176200,83,101125,126150,96,176200
University of Virginia (Main campus),"Charlottesville, United States",166,126150,56,176200,126150,69,201250,43,126150,201250,56
Sapienza University of Rome,"Rome, Italy",170,33,201250,201250,101125,176200,75,251300,99,101125,201250
University of Antwerp,"Antwerpen, Belgium",170,126150,201250,101125,301400,101125,301400,97,176200,176200,126150
University of Exeter,United Kingdom,170,82,201250,151175,301400,126150,201250,126150,101125,101125,101125
Trinity College Dublin,"Dublin, Ireland",173,96,100,126150,176200,101125,201250,88,92,201250,90
TU Dresden,"Dresden, Germany",174,301400,151175,151175,251300,101125,126150,126150,126150,,
Durham University,"Durham, United Kingdom",175,40,126150,301400,94,201250,55,201250,101125,101125,84
Huazhong University of Science and Technology,"Wuhan City, China",176,301400,201250,100,126150,201250,82,151175,151175,301400,
Vrije Universiteit Amsterdam,"Amsterdam, Netherlands",176,101125,101125,101125,151175,151175,101125,126150,176200,31,88
University of Würzburg,"Wurzburg, Germany",179,201250,126150,151175,301400,101125,176200,126150,401500,,
Dartmouth College,United States,180,201250,58,126150,251300,201250,101125,251300,101125,126150,
Medical University of Vienna,"Vienna, Austria",181,101125,,,,,,,,,
"University of California, Santa Cruz","Santa Cruz, United States",181,176200,201250,151175,201250,126150,101125,251300,126150,,
Universitat Autònoma de Barcelona (UAB),Spain,183,68,126150,151175,501600,61,301400,176200,151175,201250,251300
King Fahd University of Petroleum and Minerals,"Dhahran, Saudi Arabia",184,151175,126150,100,101125,,,,,,
Lancaster University,"Lancaster, United Kingdom",184,52,101125,201250,201250,39,176200,151175,201250,201250,126150
Université Catholique de Louvain,"Louvain-la-Neuve, Belgium",184,70,126150,126150,201250,101125,251300,101125,151175,151175,84
Pompeu Fabra University,"Barcelona, Spain",187,101125,82,176200,301400,101125,101125,,,,
University of Ottawa,"Ottawa, Canada",187,251300,301400,101125,201250,176200,301400,69,201250,301400,151175
Tufts University,"Medford, United States",189,301400,75,401500,201250,301400,201250,251300,201250,201250,
Université Paris Cité,"Paris, France",190,126150,501600,126150,251300,151175,126150,201250,401500,,
University of Twente,"Enschede, Netherlands",190,126150,201250,151175,78,126150,201250,176200,101125,,
Eindhoven University of Technology,"Eindhoven, Netherlands",192,126150,82,81,201250,151175,,,,,
University of Leicester,"Leicester, United Kingdom",192,126150,401500,101125,201250,151175,251300,201250,151175,201250,201250
University of Notre Dame,"Notre Dame, United States",194,50,176200,126150,201250,151175,63,301400,201250,126150,126150
Aalto University,"Espoo, Finland",195,101125,66,88,101125,,,,,,
The Education University of Hong Kong,"Tai Po, Hong Kong SAR China",195,,,,,,,,,,
University of Münster,"Munster, Germany",195,101125,126150,401500,251300,101125,176200,101125,201250,,
Indiana University,"Bloomington, United States",198,71,79,176200,201250,49,301400,126150,201250,251300,70
Queen’s University Belfast,"Belfast, United Kingdom",198,126150,301400,126150,301400,176200,176200,151175,126150,151175,176200
University of Calgary,"Calgary, Canada",200,301400,251300,101125,301400,101125,176200,201250,201250,301400,151175
Abu Dhabi University,"Abu Dhabi, United Arab Emirates",201250,62,301400,301400,251300,,,,,,
Arizona State University (Tempe),United States,201250,176200,91,251300,176200,76,151175,126150,201250,151175,101125
Beijing Institute of Technology,"Haidian District, China",201250,101125,176200,401500,101125,126150,176200,251300,201250,,
Cardiff University,"Cardiff, United Kingdom",201250,126150,151175,151175,201250,126150,201250,126150,151175,176200,76
Chalmers University of Technology,"Goteborg, Sweden",201250,251300,176200,126150,201250,94,201250,151175,201250,,
Deakin University,"Geelong, Australia",201250,301400,201250,201250,151175,70,126150,201250,201250,151175,201250
Friedrich Schiller University Jena,"Jena, Germany",201250,201250,301400,401500,251300,126150,176200,176200,201250,,
Georgetown University,"Washington, United States",201250,101125,201250,151175,501600,17,301400,8011000,80,81,
George Washington University,"Washington, United States",201250,301400,101125,126150,251300,201250,201250,101125,251300,251300,201250
Goethe University Frankfurt,"Frankfurt, Germany",201250,126150,201250,201250,601800,301400,98,126150,151175,176200,151175
Hong Kong Baptist University,"Kowloon, Hong Kong SAR China",201250,201250,201250,201250,151175,126150,251300,176200,301400,201250,
Indian Institute of Science,"Bangalore, India",201250,96,99,201250,201250,,,,,,
Khalifa University,"Abu Dhabi, United Arab Emirates",201250,176200,126150,176200,401500,,,,,,
Linköping University,"Linkoping, Sweden",201250,251300,201250,201250,126150,251300,151175,251300,201250,126150,201250
Medical University of Graz,"Graz, Austria",201250,176200,,,,,,,,,
Medical University of Innsbruck,"Innsbruck, Austria",201250,176200,,,,,,,,,
Nagoya University,"Nagoya, Japan",201250,251300,201250,201250,251300,176200,126150,176200,251300,251300,
"Northeastern University, US","Boston, United States",201250,251300,176200,201250,100,176200,76,176200,201250,101125,201250
Politecnico di Milano,Italy,201250,85,101125,88,65,251300,201250,,,,
Qatar University,"Ad Dawhah, Qatar",201250,401500,201250,201250,101125,201250,126150,126150,201250,176200,401500
Queensland University of Technology,"Brisbane, Australia",201250,201250,151175,176200,176200,126150,151175,54,201250,151175,201250
Sant’Anna School of Advanced Studies – Pisa,Italy,201250,151175,251300,201250,251300,176200,251300,301400,,,
Sichuan University,"Chengdu, China",201250,401500,126150,95,301400,301400,101125,201250,151175,176200,301400
Stockholm University,"Stockholm, Sweden",201250,101125,151175,401500,126150,93,91,101125,151175,86,
Sun Yat-sen University,"Guangzhou, China",201250,401500,151175,126150,176200,201250,201250,176200,176200,301400,151175
Tel Aviv University,"Tel Aviv, Israel",201250,201250,251300,176200,101125,201250,401500,100,201250,201250,151175
Tianjin University,"Tianjin, China",201250,301400,126150,251300,176200,201250,74,251300,201250,251300,
Ulsan National Institute of Science and Technology (UNIST),"Ulsan, South Korea",201250,401500,251300,126150,201250,176200,,,,,
United Arab Emirates University,"Al Ain, United Arab Emirates",201250,301400,151175,176200,301400,176200,251300,201250,251300,301400,301400
Université Libre de Bruxelles,"Brussels, Belgium",201250,176200,251300,126150,301400,401500,91,201250,176200,126150,176200
Universiti Teknologi Petronas,"Perak Darul Ridzuan, Malaysia",201250,201250,176200,201250,,,,,,,
University College Dublin,Ireland,201250,176200,176200,176200,101125,97,176200,126150,201250,251300,176200
University of Aberdeen,"Aberdeen, United Kingdom",201250,176200,251300,176200,301400,251300,251300,201250,101125,251300,201250
University of Erlangen-Nuremberg,"Erlangen, Germany",201250,176200,176200,151175,126150,201250,126150,151175,176200,151175,151175
University of Gothenburg,"Gothenburg, Sweden",201250,151175,301400,101125,501600,201250,501600,98,151175,251300,251300
University of Illinois Chicago,"Chicago, United States",201250,301400,301400,126150,126150,101125,201250,201250,251300,301400,201250
University of Malaya,"Kuala Lumpur, Malaysia",201250,251300,126150,201250,201250,101125,151175,151175,301400,301400,251300
University of Mannheim,"Mannheim, Germany",201250,201250,43,176200,176200,601800,75,57,,,
University of Miami,"Coral Gables, United States",201250,401500,301400,101125,501600,201250,401500,176200,201250,401500,151175
University of Padua,"Padua, Italy",201250,126150,301400,151175,201250,176200,201250,201250,201250,201250,84
University of Potsdam,"Potsdam, Germany",201250,151175,251300,151175,176200,151175,101125,176200,,,
University of Reading,"Reading, United Kingdom",201250,101125,86,301400,126150,201250,151175,101125,151175,151175,
University of São Paulo,Brazil,201250,98,101125,86,301400,67,251300,58,126150,301400,151175
University of Surrey,"Guildford, United Kingdom",201250,201250,95,251300,126150,176200,126150,56,401500,201250,251300
University of Sussex,"Brighton, United Kingdom",201250,176200,126150,251300,401500,201250,201250,176200,301400,151175,77
University of Utah,"Salt Lake City, United States",201250,301400,401500,126150,301400,201250,251300,176200,251300,251300,201250
University of Wollongong,"Wollongong, Australia",201250,301400,201250,251300,251300,126150,101125,101125,201250,176200,176200
Vrije Universiteit Brussel,"Elsene, Belgium",201250,176200,251300,176200,301400,126150,201250,51,201250,251300,251300
Western University,"London, Canada",201250,176200,96,126150,251300,100,176200,151175,251300,301400,92
Xi’an Jiaotong University,China,201250,176200,126150,251300,201250,67,151175,301400,201250,301400,
Aalborg University,"Aalborg East, Denmark",251300,301400,251300,201250,176200,176200,82,251300,301400,251300,201250
Beihang University,"HaiDian District, China",251300,401500,201250,126150,301400,93,301400,301400,301400,,
Boston College,"Chestnut Hill, United States",251300,151175,101125,251300,33,201250,301400,251300,176200,126150,
Central European University,"Vienna, Austria",251300,,,,,,,,,,
Central South University,"Hunan, China",251300,601,176200,176200,126150,101125,301400,251300,401500,,
Curtin University,"Perth, Australia",251300,251300,201250,251300,301400,101125,126150,126150,201250,151175,151175
East China Normal University,"Shanghai, China",251300,401500,301400,301400,59,151175,176200,201250,201250,251300,
Griffith University,"Nathan, Australia",251300,301400,126150,251300,201250,126150,201250,126150,176200,251300,176200
Hanyang University,South Korea,251300,301400,201250,301400,251300,301400,151175,251300,201250,301400,
Hebrew University of Jerusalem,"Jerusalem, Israel",251300,101125,301400,251300,251300,301400,83,251300,401500,176200,251300
Heinrich Heine University Düsseldorf,"Düsseldorf, Germany",251300,301400,176200,601800,176200,601800,251300,401500,,,
Humanitas University,Italy,251300,151175,,,,,,,,,
Hunan University,"Changsha, China",251300,401500,251300,251300,151175,301400,201250,501600,,,
King Khalid University,"Abha, Saudi Arabia",251300,301400,251300,126150,126150,301400,176200,401500,,,
King Saud University,"Riyadh, Saudi Arabia",251300,401500,401500,151175,176200,251300,151175,176200,151175,401500,401500
Kyung Hee University,"Seoul, South Korea",251300,301400,151175,251300,126150,301400,176200,501600,251300,301400,
La Trobe University,"Melbourne, Australia",251300,301400,201250,151175,251300,201250,176200,176200,301400,201250,201250
Lebanese American University,"Beirut, Lebanon",251300,101125,251300,126150,201250,201250,251300,,,,
LUT University,"Lappeenranta, Finland",251300,176200,301400,251300,201250,,,,,,
Macau University of Science and Technology,Macao SAR China,251300,201250,201250,151175,201250,,,,,,
Nankai University,"Nankai, China",251300,401500,251300,251300,251300,151175,201250,101125,301400,,
Northwestern Polytechnical University,"Xi'an, China",251300,301400,251300,176200,101125,201250,201250,301400,,,
RCSI University of Medicine and Health Sciences,"Dublin, Ireland",251300,201250,,,,,,,,,
RMIT University,"Melbourne, Australia",251300,176200,151175,301400,201250,126150,126150,251300,176200,251300,176200
Ruhr University Bochum,"Bochum, Germany",251300,201250,251300,126150,251300,301400,301400,301400,101125,301400,
Sejong University,South Korea,251300,151175,176200,176200,251300,201250,251300,,,,
Semmelweis University,"Budapest, Hungary",251300,201250,251300,,,,,,,,
Shandong University,"Jinan, China",251300,301400,401500,501600,251300,501600,401500,501600,,,
South China University of Technology,"Guangzhou, China",251300,401500,301400,301400,301400,151175,201250,251300,401500,,
Southeast University,"Nanjing, China",251300,301400,301400,301400,251300,92,201250,301400,401500,401500,
Southern Medical University,"Guangzhou City, China",251300,176200,,,,,,,,,
Swinburne University of Technology,"Hawthorn, Australia",251300,301400,176200,401500,151175,251300,176200,201250,151175,201250,201250
Technical University of Darmstadt,"Darmstadt, Germany",251300,73,201250,126150,401500,251300,,,,,
Ulm University,Germany,251300,151175,251300,201250,201250,301400,151175,,,,
Università Cattolica del Sacro Cuore,"MI, Italy",251300,301400,501600,176200,501600,201250,251300,8011000,251300,401500,
Università della Svizzera italiana,Switzerland,251300,301400,176200,251300,501600,,,,,,
University of Bath,"Bath, United Kingdom",251300,201250,101125,176200,301400,82,201250,251300,301400,91,151175
University of Bergen,Norway,251300,201250,201250,501600,176200,151175,251300,201250,176200,,
University of East Anglia,"Norwich, United Kingdom",251300,201250,251300,301400,201250,201250,201250,101125,251300,251300,201250
University of Hawai’i at Mānoa,"Honolulu, United States",251300,176200,401500,301400,601800,126150,501600,201250,126150,301400,251300
University of Konstanz,Germany,251300,151175,251300,251300,176200,401500,126150,93,,,
University of Luxembourg,"Esch-sur-Alzette, Luxembourg",251300,201250,251300,301400,151175,151175,176200,83,201250,251300,201250
University of Navarra,"NA, Spain",251300,251300,84,176200,401500,8011000,126150,301400,301400,201250,
University of Newcastle,"Callaghan, Australia",251300,251300,176200,201250,251300,176200,201250,201250,201250,301400,251300
University of Oulu,"Oulu, Finland",251300,301400,251300,301400,126150,201250,176200,301400,,,
University of Southern Denmark,"Odense M, Denmark",251300,201250,201250,176200,401500,201250,301400,301,201250,201250,176200
University of Stuttgart,"Stuttgart, Germany",251300,301400,126150,101125,251300,201250,,,,,
University of Tasmania,"Hobart, Australia",251300,401500,301400,301400,401500,201250,301400,126150,126150,251300,301400
Virginia Polytechnic Institute and State University,"Blacksburg, United States",251300,301400,176200,301400,101125,101125,84,251300,251300,176200,201250
Vita-Salute San Raffaele University,"MI, Italy",251300,126150,401500,,,,,,,,
Xiamen University,"Xiamen, China",251300,401500,151175,301400,201250,301400,201250,201250,201250,151175,401500
"Birkbeck, University of London","London, United Kingdom",301350,91,301400,87,201250,501600,601800,86,301400,,
