Name,Geo,World University Rankings 2026,Arts and Humanities 2025,Business and Economics 2025,Medical and Health 2025,Computer Science 2025,Education Studies 2025,Engineering 2025,Law 2025,Life Sciences 2025,Physical Sciences 2025,Social Sciences 2025
Bartin University,"Bartin, Türkiye",10011200,401500,601800,,,,,,,,
Bayero University,"Kano State, Nigeria",10011200,8011000,10011250,1001,8011000,,,,,,
Beni-Suef University,"Bani Swei, Egypt",10011200,601800,501600,601800,601800,,,,,,
Birla Institute of Technology,"Ranchi, India",10011200,601800,601800,8011000,8011000,8011000,,,,,
BRAC University,"Dhaka, Bangladesh",10011200,501600,8011000,8011000,1001,601800,,,,,
Cardiff Metropolitan University,"Cardiff, United Kingdom",10011200,601800,601800,501600,,,,,,,
Central Michigan University,"Mount Pleasant, United States",10011200,801,501600,501600,1001,8011000,401500,8011000,,,
Central University of Haryana,"Mahendragarh, India",10011200,,,,,,,,,,
Central University of Jammu,"Samba, India",10011200,,,,,,,,,,
Chang’an University,"Xi'an, China",10011200,,,,,,,,,,
Changsha University of Science and Technology,"Changsha, China",10011200,601800,601800,601800,401500,8011000,,,,,
Chiang Mai University,"Chiang Mai, Thailand",10011200,601,801,601800,8011000,501600,601800,401500,8011000,601800,
Chiba University,"Chiba-shi, Japan",10011200,501600,601,10011250,501600,8011000,8011000,,,,
China Pharmaceutical University,"Nanjing, China",10011200,401500,501600,501600,,,,,,,
Chungbuk National University,"Cheongju-si, South Korea",10011200,601800,601800,8011000,601800,8011000,801,,,,
Chungnam National University,"Yuseong-gu, South Korea",10011200,601800,601800,601800,601800,8011000,601800,,,,
Clarkson University,"Potsdam, United States",10011200,8011000,501600,,,,,,,,
Cochin University of Science and Technology,India,10011200,8011000,10011250,8011000,1001,,,,,,
Covenant University,"Ota, Nigeria",10011200,601800,601800,8011000,8011000,601800,,,,,
CY Cergy Paris University,"Cergy Pontoise, France",10011200,301400,501600,601,501600,401500,,,,,
Damietta University,"DT, Egypt",10011200,601800,601800,,,,,,,,
Datta Meghe Institute of Higher Education & Research (Deemed to be University),"Wardha, India",10011200,601800,,,,,,,,,
Delta University for Science and Technology,"DK, Egypt",10011200,,,,,,,,,,
Dr B.R. Ambedkar National Institute of Technology Jalandhar,"Jalandhar, India",10011200,8011000,,,,,,,,,
Edge Hill University,"Ormskirk, United Kingdom",10011200,8011000,401500,501600,601800,,,,,,
European University of Madrid,"Villaviciosa de Odon, Spain",10011200,501600,8011000,501600,8011000,,,,,,
Firat University,"Elazig, Türkiye",10011200,8011000,501600,8011000,1001,501600,,,,,
Florida Agricultural and Mechanical University,"Tallahassee, United States",10011200,401500,8011000,8011000,1001,,,,,,
Florida Institute of Technology,"Melbourne, United States",10011200,8011000,501600,501600,,,,,,,
Fujian Agriculture and Forestry University,"Fujian, China",10011200,601800,501600,1001,8011000,501600,601800,8011000,,,
Fujita Health University,"Toyoake, Japan",10011200,601800,601800,,,,,,,,
Gdańsk University of Technology,"Gdansk, Poland",10011200,601800,8011000,601800,601800,8011000,,,,,
GLA University,"Mathura, India",10011200,801,8011000,501600,8011000,501600,,,,,
Gonabad University of Medical Sciences,"Gonabad, Iran",10011200,,,,,,,,,,
Hamadan University of Medical Sciences (UMSHA),"Hamedan, Iran",10011200,601800,601800,,,,,,,,
Hamamatsu University School of Medicine,"Hamamatsu City, Japan",10011200,601800,,,,,,,,,
Hangzhou Normal University,"Hangzhou, China",10011200,8011000,601800,501600,601800,601800,501600,8011000,,,
Hazara University Mansehra,"Mansehra, Pakistan",10011200,601800,501600,,,,,,,,
Imam Khomeini International University,"Qazvin, Iran",10011200,501600,601800,,,,,,,,
Indian Institute of Technology Gandhinagar,"Gandhinagar, India",10011200,601800,8011000,8011000,,,,,,,
Indian Institute of Technology Mandi,"Kamand, India",10011200,8011000,8011000,,,,,,,,
Indian Institute of Technology Ropar,"Rupnagar, India",10011200,8011000,8011000,,,,,,,,
Indraprastha Institute of Information Technology Delhi,"New Delhi, India",10011200,601800,8011000,,,,,,,,
Institute for Advanced Studies in Basic Sciences (IASBS),"Zanjan, Iran",10011200,,,,,,,,,,
Institute of Space Technology,"Islamabad, Pakistan",10011200,10011250,8011000,,,,,,,,
Islamic University of Madinah,"Madinah, Saudi Arabia",10011200,601800,601800,,,,,,,,
Istanbul Gelisim University,"Hakan Öner Street, Türkiye",10011200,601800,501600,,,,,,,,
İstinye University,"Topkapi, Türkiye",10011200,1001,401500,,,,,,,,
Izmir Institute of Technology,"Urla, Türkiye",10011200,1251,1001,,,,,,,,
Jadavpur University,"Kolkata, India",10011200,601,8011000,8011000,,,,,,,
Jashore University of Science and Technology,"Jashore District, Bangladesh",10011200,601800,601800,,,,,,,,
Jaume I University,"CS, Spain",10011200,401500,601800,601800,8011000,401500,8011000,301,8011000,401500,501600
Jawaharlal Nehru Technological University Anantapur (JNTUA),"AP, India",10011200,601800,,,,,,,,,
Jaypee University of Information Technology,"Distt. Solan, India",10011200,601800,601800,,,,,,,,
Jiangsu University of Science and Technology,"Zhenjiang, China",10011200,,,,,,,,,,
Kalasalingam Academy of Research and Education,"Krishnankoil, India",10011200,501600,601800,501600,,,,,,,
Kanazawa University,"Kanazawa, Japan",10011200,501600,8011000,10011250,601800,8011000,,,,,
Kaunas University of Technology,Lithuania,10011200,501600,8011000,8011000,1001,601800,,,,,
Khulna University of Engineering and Technology (KUET),"Khulna, Bangladesh",10011200,8011000,,,,,,,,,
Kore University of Enna,"Enna, Italy",10011200,501600,501600,,,,,,,,
Kumamoto University,"Kumamoto, Japan",10011200,401500,10011250,501600,1001,,,,,,
Kyoto Prefectural University of Medicine,"Kyoto, Japan",10011200,601800,,,,,,,,,
Lakehead University,Canada,10011200,601800,601800,501600,501600,601800,601800,501600,8011000,,
Landmark University,"Omu Aran, Nigeria",10011200,601800,8011000,501600,,,,,,,
Lithuanian University of Health Sciences,"Kaunas, Lithuania",10011200,601800,601800,,,,,,,,
Mae Fah Luang University,"Thasud, Thailand",10011200,8011000,301400,,,,,,,,
"Maulana Abul Kalam Azad University of Technology, West Bengal","Nadia, India",10011200,,,,,,,,,,
Medical University of Gdańsk,"Gdansk, Poland",10011200,601800,,,,,,,,,
Medical University of Warsaw,"Warsaw, Poland",10011200,601800,,,,,,,,,
Ming Chi University of Technology,"TPQ, Taiwan",10011200,601800,8011000,,,,,,,,
Minia University,"El-Minia, Egypt",10011200,8011000,501600,501600,8011000,501600,,,,,
Montana State University,"Bozeman, United States",10011200,801,601800,501600,10011250,601800,501600,501600,601800,,
Multimedia University,"Cyberjaya, Malaysia",10011200,601800,601800,601800,,,,,,,
National Central University,"Taoyuan City, Taiwan",10011200,501,601800,601800,8011000,8011000,8011000,,,,
"National Institute of Technology, Raipur","Raipur, India",10011200,8011000,,,,,,,,,
New Valley University,"El Kharga, Egypt",10011200,601800,,,,,,,,,
Nguyen Tat Thanh University,"Ho Chi Minh, Vietnam",10011200,,,,,,,,,,
Nippon Medical School,"Tokyo, Japan",10011200,601800,,,,,,,,,
Northwest University (China),"Xi’an, China",10011200,601,801,8011000,501600,601800,8011000,8011000,,,
Nova Southeastern University,"Fort Lauderdale, United States",10011200,801,8011000,601,601800,501600,,,,,
Okayama University,"Okayama, Japan",10011200,501600,601,10011250,401500,1001,,,,,
O.P. Jindal Global University,"Haryana, India",10011200,,,,,,,,,,
Palacký University Olomouc,"Olomouc, Czechia",10011200,501600,601800,8011000,601,501600,301,501600,8011000,501600,601800
PMAS Arid Agriculture University Rawalpindi,"Rawalpindi, Pakistan",10011200,501600,601800,501600,,,,,,,
