Name,Geo,World University Rankings 2026,Arts and Humanities 2025,Business and Economics 2025,Medical and Health 2025,Computer Science 2025,Education Studies 2025,Engineering 2025,Law 2025,Life Sciences 2025,Physical Sciences 2025,Social Sciences 2025
Pontifical Catholic University of Rio Grande do Sul (PUCRS),"Porto Alegre, Brazil",10011200,601800,601800,8011000,401500,10011250,301,601800,8011000,601,8011000
Riga Technical University,"Riga, Latvia",10011200,601800,8011000,8011000,8011000,,,,,,
Riphah International University,"Islamabad, Pakistan",10011200,8011000,601800,501600,601800,501600,,,,,
San Diego State University,"San Diego, United States",10011200,601,601800,401500,601800,301400,8011000,501600,8011000,301400,601800
Selçuk University,"Istanbul, Türkiye",10011200,8011000,601800,601800,1001,8011000,,,,,
Semnan University,"Semnan, Iran",10011200,8011000,8011000,,,,,,,,
Shanghai Normal University,"Shanghai, China",10011200,801,1001,401500,601800,501600,8011000,501600,601800,,
Shantou University,"Shantou, China",10011200,601800,601800,601800,601800,501600,601800,601800,,,
Shaqra University,"Shaqra, Saudi Arabia",10011200,,,,,,,,,,
Silesian University of Technology,"Gliwice, Poland",10011200,501600,601800,8011000,601800,,,,,,
South Dakota Mines,"Rapid City, United States",10011200,,,,,,,,,,
SRM Institute of Science and Technology,"Tamil Nadu, India",10011200,801,601800,601800,601800,601800,,,,,
Suez University,"Suez, Egypt",10011200,601800,601800,,,,,,,,
Sumy State University,"Sumy, Ukraine",10011200,501600,601800,601800,601800,401500,,,,,
Taibah University,"Al Madinah, Saudi Arabia",10011200,601800,601800,501600,601800,601800,,,,,
Taiz University,"Taiz, Yemen",10011200,,,,,,,,,,
Tallinn University,"Tallinn, Estonia",10011200,401500,401500,401500,601800,,,,,,
Tanta University,"Tanta, Egypt",10011200,8011000,601800,601800,601800,601800,8011000,,,,
Tashkent State Technical University,"Tashkent City, Uzbekistan",10011200,,,,,,,,,,
Technical University of Madrid,Spain,10011200,401500,501600,601800,501600,,,,,,
Technische Universität Ilmenau,"Ilmenau, Germany",10011200,501600,601800,8011000,,,,,,,
The Hashemite University,"Zarqa, Jordan",10011200,601800,8011000,501600,501600,8011000,8011000,,,,
The New School,"New York, United States",10011200,501600,301400,251300,,,,,,,
The University of Haripur,"Khyber Pakhtunkhwa, Pakistan",10011200,,,,,,,,,,
Tishk International University,"Erbil, Iraq",10011200,,,,,,,,,,
Tokyo Medical University,"Tokyo, Japan",10011200,601800,,,,,,,,,
TU Bergakademie Freiberg,"Freiberg, Germany",10011200,,,,,,,,,,
Universidade Federal de Santa Catarina,"Trindade, Brazil",10011200,401500,501600,601800,8011000,401500,601800,251300,601800,8011000,601
Universidad Peruana Cayetano Heredia,"San Martín de Porres- Lima, Peru",10011200,601800,1001,,,,,,,,
Universitas Sebelas Maret,"Jawa Tengah, Indonesia",10011200,601800,1001,1001,501600,10011250,201250,1001,8011000,601800,
Universitat Internacional de Catalunya,"Barcelona, Spain",10011200,601800,601800,,,,,,,,
University of Burgundy,"Dijon, France",10011200,,,,,,,,,,
Universiti Malaysia Sarawak (UNIMAS),"Kota Samarahan, Malaysia",10011200,501600,8011000,8011000,10011250,8011000,601800,,,,
Universiti Malaysia Terengganu (UMT),"11, Malaysia",10011200,501600,8011000,601800,8011000,601800,8011000,,,,
Universiti Sultan Zainal Abidin,"Terengganu Darul Iman, Malaysia",10011200,601800,601800,1001,8011000,,,,,,
Universiti Tunku Abdul Rahman (UTAR),"Kampar, Malaysia",10011200,601800,601800,8011000,301400,8011000,8011000,8011000,601800,,
University of Algarve,"Faro, Portugal",10011200,501600,601800,601800,10011250,601800,8011000,601,501600,,
University of Alicante,"San Vicente del Raspeig, Spain",10011200,401500,601800,8011000,8011000,301400,601800,251300,501600,8011000,601800
University of Almería,"Almeria, Spain",10011200,601,601800,601800,8011000,401500,10011250,301,501600,1001,501600
University of Angers,France,10011200,601800,601800,8011000,,,,,,,
University of Bahrain,"Sakheer, Bahrain",10011200,,,,,,,,,,
University of Bedfordshire,"Luton, United Kingdom",10011200,501600,501600,,,,,,,,
University of Belgrade,"Belgrade, Serbia",10011200,501600,601800,401500,801,401500,1001,251,601800,1001,401500
University of Bisha,"Bisha, Saudi Arabia",10011200,601800,601800,,,,,,,,
University of Botswana,"Gaborone, Botswana",10011200,801,501600,601800,1001,8011000,,,,,
University of Bucharest,Romania,10011200,501600,601,8011000,601,8011000,1001,501600,8011000,,
University of Camerino (Unicam),"Camerino MC, Italy",10011200,601800,501600,601800,,,,,,,
University of Campania Luigi Vanvitelli,"CE, Italy",10011200,601,801,401500,8011000,301,601800,8011000,401500,8011000,
University of Castilla-La Mancha,"Ciudad Real, Spain",10011200,401500,401500,601800,8011000,501600,8011000,251300,501600,601800,601800
University of Chile,"Santiago de Chile, Chile",10011200,501600,501600,601800,501600,401500,8011000,251300,601800,501600,401500
University of Clermont Auvergne,"Clermont Ferrand, France",10011200,601,601800,501600,8011000,8011000,601800,601800,301400,8011000,
University of Colombo,"Colombo, Sri Lanka",10011200,501600,8011000,1001,1001,,,,,,
University of East London,"London, United Kingdom",10011200,801,601800,501600,301400,601800,,,,,
"University of Education, Lahore","Lahore, Pakistan",10011200,601800,601800,,,,,,,,
"University of Engineering and Technology, Peshawar","Peshawar, Pakistan",10011200,601800,8011000,,,,,,,,
University of Ghana,"Legon, Ghana",10011200,501600,401500,601800,501600,10011250,251300,8011000,1001,401500,401500
University of Girona,"Girona, Spain",10011200,501600,601800,601800,8011000,401500,601800,301,501600,601800,401500
University of Gloucestershire,"Cheltenham, United Kingdom",10011200,8011000,,,,,,,,,
University of Hafr Al Batin,"Hafar al-Batin, Saudi Arabia",10011200,,,,,,,,,,
University of Hradec Králové,"Hradec Králové, Czechia",10011200,601,601800,601,501600,8011000,,,,,
University of Hyderabad,"Hyderabad, India",10011200,,,,,,,,,,
University of Kashan,"Kashan, Iran",10011200,401500,601800,,,,,,,,
University of Kurdistan,"Sanandaj, Iran",10011200,8011000,601800,601800,,,,,,,
University of la Costa,"Barranquilla, Colombia",10011200,8011000,10011250,,,,,,,,
University of La Laguna,"GC, Spain",10011200,601,801,8011000,8011000,601,10011250,601800,401500,601,8011000
University of Lancashire,"Preston, United Kingdom",10011200,501600,601800,601800,401500,301,601800,501600,401500,601800,
University of Latvia,"Riga, Latvia",10011200,501600,501600,8011000,501600,601800,8011000,601800,,,
University of Medicine and Pharmacy of Craiova,"Craiova, Romania",10011200,8011000,,,,,,,,,
University of Memphis,"Memphis, United States",10011200,401500,601800,8011000,501600,401500,601800,601800,8011000,301400,601800
University of Mohaghegh Ardabili,"Ardabil, Iran",10011200,601800,601800,601800,,,,,,,
University of Murcia,"Murcia, Spain",10011200,401500,601800,601800,601800,401500,301,601800,1001,501600,601800
University of Okara,"Okara, Pakistan",10011200,,,,,,,,,,
University of Oviedo,"O, Spain",10011200,501600,601800,601800,8011000,401500,10011250,301,301400,8011000,301400
University of Pécs,"Pecs, Hungary",10011200,801,401500,1251,8011000,1001,501600,8011000,,,
University of Peshawar,"Peshawar, Pakistan",10011200,601800,501600,601800,,,,,,,
University of Piraeus,"Piraeus, Greece",10011200,,,,,,,,,,
University of Rajshahi,"Rajshahi, Bangladesh",10011200,8011000,601800,8011000,8011000,8011000,,,,,
University of Sadat City,"Madinat As Sadat, Egypt",10011200,601800,601800,,,,,,,,
University of Sannio,"Benevento, Italy",10011200,801,601800,,,,,,,,
University of Savoie Mont Blanc,"Chambery, France",10011200,501600,801,1001,8011000,401500,501600,501600,,,
University of Seoul,"Dongdaemun-gu, South Korea",10011200,801,601800,501600,601800,,,,,,
University of South Bohemia in České Budějovice,"České Budějovice, Czechia",10011200,601,8011000,601,401500,501600,1001,,,,
University of South Dakota,"Vermillion, United States",10011200,8011000,1001,601800,601,,,,,,
University of Sulaimani,"Sulaymaniyah, Iraq",10011200,8011000,601800,1001,601800,,,,,,
University of Szeged,"Szeged, Hungary",10011200,601,801,501600,8011000,501600,8011000,301,601800,8011000,501600
University of Tarapacá,"Arica, Chile",10011200,601,601,501600,8011000,,,,,,
"University of Technology, Iraq","Baghdad, Iraq",10011200,8011000,10011250,601800,,,,,,,
University of Texas at El Paso,"El Paso, United States",10011200,601,601800,601800,601800,501600,601800,601800,8011000,401500,8011000
University of the Aegean,"Mytilene, Greece",10011200,601800,601800,501600,10011250,8011000,601800,,,,
"University of the Andes, Colombia","Bogata, Colombia",10011200,501600,601800,8011000,8011000,301400,10011250,201250,8011000,401500,401500
University of the Free State,"Bloemfontein, South Africa",10011200,501600,801,8011000,501600,301,601800,8011000,501600,601800,
University of the South Pacific,"Suva, Fiji",10011200,601800,8011000,501600,,,,,,,
University of Thessaly,"Volos, Greece",10011200,601800,601800,8011000,601,10011250,601800,,,,
University of Tours,"37020 Tours cedex 1, France",10011200,501600,501600,1001,10011250,601800,1001,601,8011000,,
University of Zaragoza,"Z, Spain",10011200,401500,501600,601800,501600,501600,8011000,301,601800,8011000,301400
Veltech University,"Chennai, India",10011200,10011250,,,,,,,,,
Yokohama City University,"Yokohama, Japan",10011200,401500,601800,1001,,,,,,,
York St John University,"York, United Kingdom",10011200,,,,,,,,,,
Zagazig University,"Zagazig 2, Egypt",10011200,8011000,501600,501600,401500,501600,601800,,,,
ZHAW Zurich University of Applied Sciences,"Winterthur, Switzerland",10011200,601800,8011000,8011000,601800,501600,401500,,,,
Adolfo Ibáñez University,"Penalolen, Chile",12011500,601,801,301,8011000,401500,601,,,,
Ahmadu Bello University,"Zaria, Nigeria",12011500,601800,1251,1001,1001,8011000,,,,,
Aichi Medical University,"Nagakute, Japan",12011500,8011000,,,,,,,,,
Akdeniz University,"07, Türkiye",12011500,601,801,8011000,601,501600,8011000,601800,1001,,
Al-Baha University,"Al Bahah, Saudi Arabia",12011500,601800,601800,601800,601800,,,,,,
Al-Farabi Kazakh National University,"al-Farabi Ave, Kazakhstan",12011500,501600,601800,601800,1001,501600,10011250,8011000,1001,601800,
Al-Hussein Bin Talal University,"Maan, Jordan",12011500,,,,,,,,,,
American International University – Bangladesh,"Khilkhet, Bangladesh",12011500,8011000,8011000,,,,,,,,
"Amity University, Gurugram","Haryana, India",12011500,601800,1001,,,,,,,,
Ankara University,"Besevler, Türkiye",12011500,601,801,8011000,501600,10011250,8011000,1001,601,8011000,
Ariel University,"Ariel, Israel",12011500,501600,801,601800,1001,401500,1251,1001,401500,8011000,
Assiut University,"Assiut, Egypt",12011500,8011000,601800,601800,601800,601800,8011000,,,,
Austral University,"Pilar, Argentina",12011500,601800,,,,,,,,,
Autonomous University of Sinaloa,"Espinoza de los Monteros, Mexico",12011500,1001,1001,,,,,,,,
Azarbaijan Shahid Madani University,"Tabriz, Iran",12011500,8011000,601800,,,,,,,,
Babeş-Bolyai University,"Cluj-Napoca, Romania",12011500,501600,601800,8011000,601,601800,1001,1001,401500,601800,
Banasthali University,"Rajasthan, India",12011500,601800,8011000,1001,,,,,,,
Benha University,"Benha, Egypt",12011500,8011000,401500,601800,501600,601800,,,,,
Bharathidasan University,"Tiruchirappalli, India",12011500,601800,8011000,,,,,,,,
BINUS University,"Jakarta, Indonesia",12011500,601800,8011000,10011250,601800,,,,,,
Biruni University,"Istanbul, Türkiye",12011500,,,,,,,,,,
Botswana International University of Science and Technology (BIUST),"Boseja, Botswana",12011500,10011250,1001,,,,,,,,
Brno University of Technology,"Brno, Czechia",12011500,501600,501600,8011000,,,,,,,
Brock University,"Saint Catharines, Canada",12011500,,,,,,,,,,
Bu-Ali Sina University,"Hamadan, Iran",12011500,8011000,8011000,8011000,,,,,,,
Budapest University of Technology and Economics,"Budapest, Hungary",12011500,601,801,601800,8011000,8011000,601800,,,,
Canterbury Christ Church University,"Canterbury, United Kingdom",12011500,601800,601,501600,8011000,,,,,,
Changzhou University,China,12011500,8011000,8011000,601800,601800,,,,,,
Chaoyang University of Technology,"Taichung, Taiwan",12011500,601800,8011000,10011250,,,,,,,
Chaudhary Charan Singh University - Meerut,"Meerut, India",12011500,,,,,,,,,,
Chittagong University of Engineering & Technology,"Chittagong, Bangladesh",12011500,601800,8011000,601800,,,,,,,
Chung Yuan Christian University,"Taoyuan City, Taiwan",12011500,601800,8011000,601800,8011000,,,,,,
Comenius University Bratislava,Slovakia,12011500,501600,601800,8011000,8011000,601,301,8011000,8011000,501600,601800
Czech Technical University in Prague,"6 Dejvice, Czechia",12011500,801,1001,501600,8011000,601,8011000,,,,
Damanhour University,"Damanhour City, Egypt",12011500,601800,601800,1001,,,,,,,
Democritus University of Thrace,"Komotini, Greece",12011500,601800,601,8011000,8011000,601800,,,,,
Diego Portales University,"Santiago, Chile",12011500,601,601,301,601,601800,,,,,
DIT University,"UT, India",12011500,8011000,601800,,,,,,,,
"Dr D. Y. Patil Vidyapeeth, Pune","Pune, India",12011500,8011000,,,,,,,,,
Duzce University,"Duzce, Türkiye",12011500,1001,501600,1001,301400,,,,,,
Ege University,"Bornova, Türkiye",12011500,601800,601800,8011000,601,10011250,8011000,1001,8011000,,
Erciyes University,"Kayseri, Türkiye",12011500,8011000,8011000,8011000,601800,,,,,,
Fayoum University,"Fayoum, Egypt",12011500,8011000,601800,501600,8011000,,,,,,
Federal University of São Carlos,Brazil,12011500,601,8011000,8011000,501600,8011000,601800,1001,501600,601800,
"Federal University of Technology, Minna","Niger State, Nigeria",12011500,10011250,8011000,,,,,,,,
Fu Jen Catholic University,"New Taipei, Taiwan",12011500,601800,501600,10011250,8011000,1001,,,,,
Galgotias University,"Gautam Buddh Nagar, India",12011500,601800,1001,601800,,,,,,,
Gauhati University,"Guwahati, India",12011500,10011250,8011000,1001,1001,,,,,,
Gazi University,Türkiye,12011500,601,8011000,8011000,501600,10011250,8011000,1001,601,,
Gebze Technical University,"41, Türkiye",12011500,8011000,10011250,601800,1001,,,,,,
Gifu University,"Gifu, Japan",12011500,601800,10011250,601800,,,,,,,
Guru Jambheshwar University of Science and Technology,"Hisar, India",12011500,10011250,8011000,,,,,,,,
Gyeongsang National University,"Jinju-si, South Korea",12011500,601800,8011000,10011250,8011000,8011000,8011000,,,,
Hakim Sabzevari University,"Sabzevar, Iran",12011500,601800,601800,,,,,,,,
Hallym University,South Korea,12011500,601800,1001,,,,,,,,
Hangzhou Dianzi University (HDU),"Hangzhou, China",12011500,,,,,,,,,,
HES-SO University of Applied Sciences and Arts of Western Switzerland,"Delemont, Switzerland",12011500,601800,8011000,10011250,601800,,,,,,
Hindustan Institute of Technology and Science,"Chennai, India",12011500,8011000,10011250,8011000,,,,,,,
Hitotsubashi University,"Kunitachi, Japan",12011500,301400,601800,,,,,,,,
Ho Chi Minh City Open University,"Ho Chi Minh City, Vietnam",12011500,801,,,,,,,,,
Holy Spirit University of Kaslik,"Jounieh, Lebanon",12011500,,,,,,,,,,
Hosei University,"Tokyo, Japan",12011500,801,601800,10011250,8011000,,,,,,
Huaqiao University,"Xiamen, China",12011500,501600,601800,8011000,601800,8011000,501600,,,,
Hungarian University of Agriculture and Life Sciences,"Godollo, Hungary",12011500,601800,8011000,8011000,401500,,,,,,
Hyogo Medical University,"Nishinomiya, Japan",12011500,8011000,,,,,,,,,
Ibn Tofaïl University,"Kenitra, Morocco",12011500,8011000,501600,1001,8011000,8011000,,,,,
Ibn Zohr University,"Agadir, Morocco",12011500,,,,,,,,,,
Icesi University,"Cali, Colombia",12011500,601800,,,,,,,,,
IFHE Hyderabad,"TG, India",12011500,,,,,,,,,,
I. Horbachevsky Ternopil National Medical University,"Ternopil, Ukraine",12011500,,,,,,,,,,
Ilam University,"Ilam, Iran",12011500,601800,,,,,,,,,
Ilia State University,"Tbilisi, Georgia",12011500,601800,601800,601800,,,,,,,
Incheon National University,"28, South Korea",12011500,801,8011000,8011000,8011000,1001,601800,,,,
Indian Institute of Science Education and Research Bhopal,"Bhopal, India",12011500,10011250,1001,,,,,,,,
"Indian Institute of Science Education and Research, Pune","Pune, India",12011500,8011000,8011000,,,,,,,,
Inönü University,"Malatya, Türkiye",12011500,1001,601,1251,1001,,,,,,
Institut Teknologi Bandung,"Bandung, Indonesia",12011500,601800,8011000,601800,10011250,8011000,1001,,,,
I-Shou University,"Kaohsiung City, Taiwan",12011500,8011000,1251,,,,,,,,
Istanbul Medeniyet University,"İstanbul, Türkiye",12011500,8011000,,,,,,,,,
Istanbul University,"Fatih, Türkiye",12011500,601,601800,601800,401,801,601800,1001,601,601800,
Istanbul University-Cerrahpaşa,"Avcilar, Türkiye",12011500,601800,8011000,601,10011250,8011000,,,,,
Iuliu Haţieganu University of Medicine and Pharmacy Cluj-Napoca,"Cluj-Napoca, Romania",12011500,601800,,,,,,,,,
Jeju National University,"Jeju-si, South Korea",12011500,8011000,401500,501600,8011000,1001,,,,,
Jiangxi Normal University (JXNU),"Nanchang, China",12011500,,,,,,,,,,
Kangwon National University,"Chuncheon, South Korea",12011500,801,8011000,8011000,10011250,601800,8011000,8011000,,,
Kansai Medical University,"Hirakata City, Japan",12011500,601800,,,,,,,,,
Karunya Institute of Technology and Sciences,"Coimbatore, India",12011500,601800,8011000,601800,,,,,,,
Kashan University of Medical Sciences and Health Services,"Kashan, Iran",12011500,401500,601800,,,,,,,,
Kharazmi University,"Tehran, Iran",12011500,801,301400,8011000,8011000,1001,501600,601800,,,
Khon Kaen University,"Khon Kaen, Thailand",12011500,601800,601800,601800,401500,8011000,601800,8011000,8011000,,
Khulna University,"Khulna, Bangladesh",12011500,8011000,1001,,,,,,,,
Kindai University,"Higashiosaka City, Japan",12011500,401500,1251,1001,1001,,,,,,
King Mongkut's University of Technology North Bangkok,"Bangkok, Thailand",12011500,801,501600,8011000,8011000,,,,,,
Kohat University of Science and Technology,"Kohat, Pakistan",12011500,8011000,,,,,,,,,
Kookmin University,"Seongbuk-gu, South Korea",12011500,8011000,8011000,8011000,1001,1001,,,,,
Kurume University,"Kurume-shi, Japan",12011500,601800,,,,,,,,,
Kuwait University,"Kuwait City, Kuwait",12011500,801,401500,8011000,601,10011250,601800,1001,8011000,,
Kwame Nkrumah University of Science and Technology,"Kumasi, Ghana",12011500,501600,401500,601800,10011250,1001,1001,601800,,,
Kyushu Institute of Technology (Kyutech),"Kitakyushu-shi, Japan",12011500,8011000,,,,,,,,,
Lahore College for Women University (LCWU),"Lahore, Pakistan",12011500,8011000,1001,,,,,,,,
Lebanese University,"Museum, Lebanon",12011500,401500,601800,601800,601800,1001,,,,,
Lorestan University,"Khorramabad, Iran",12011500,601800,8011000,1001,,,,,,,
Madan Mohan Malaviya University of Technology,"Gorakhpur, India",12011500,,,,,,,,,,
Maharishi Markandeshwar University (MMU),"Ambala, India",12011500,601800,8011000,,,,,,,,
Manipal University Jaipur,"Jaipur, India",12011500,8011000,601800,8011000,,,,,,,
Mawlana Bhashani Science and Technology University,"Tangail, Bangladesh",12011500,,,,,,,,,,
Medical University of Bialystok,"Bialystok, Poland",12011500,8011000,,,,,,,,,
Medical University of Lublin,Poland,12011500,8011000,,,,,,,,,
Medical University of Silesia in Katowice,"Katowice, Poland",12011500,8011000,,,,,,,,,
"Mehran University of Engineering and Technology, Jamshoro, Pakistan","Jamshoro, Pakistan",12011500,8011000,10011250,501600,,,,,,,
Mendel University in Brno,"Brno, Czechia",12011500,801,10011250,8011000,8011000,601800,,,,,
Menoufia University,"Shebin ElKoum, Egypt",12011500,1001,601800,601800,601800,601800,,,,,
Miguel Hernández University of Elche,"Elche, Spain",12011500,601800,601800,301400,10011250,601800,1001,501600,601800,,
M. Kumarasamy College of Engineering,"TN, India",12011500,,,,,,,,,,
"MNS University of Agriculture, Multan","Multan, Pakistan",12011500,,,,,,,,,,
Mohammed V University of Rabat,"Rabat, Morocco",12011500,801,8011000,8011000,8011000,8011000,8011000,8011000,,,
Mutah University,"Al Karak, Jordan",12011500,8011000,8011000,1001,,,,,,,
Nagasaki University,"Nagasaki City, Japan",12011500,601800,10011250,601800,1001,601800,,,,,
Nagoya City University,"Nagoya, Japan",12011500,601800,,,,,,,,,
National Chengchi University,"Taipei, Taiwan",12011500,501600,501600,8011000,251300,501600,601800,,,,
National Chung Cheng University,"Min-Hsiung Township, Taiwan",12011500,801,8011000,501600,8011000,1001,8011000,,,,
National Chung Hsing University,"South District, Taiwan",12011500,601800,601800,8011000,601800,8011000,1001,,,,
