URL,Name,2026,2025,2024
https://www.timeshighereducation.com/world-university-rankings/university-amsterdam,University of Amsterdam,73.7,73.8,73.6
https://www.timeshighereducation.com/world-university-rankings/university-california-davis,"University of California, Davis",72.8,73.5,74.1
https://www.timeshighereducation.com/world-university-rankings/brown-university,Brown University,72.6,73.8,73
https://www.timeshighereducation.com/world-university-rankings/wageningen-university-research,Wageningen University & Research,72.2,72.7,73
https://www.timeshighereducation.com/world-university-rankings/washington-university-st-louis,Washington University in St Louis,72,72.2,72.3
https://www.timeshighereducation.com/world-university-rankings/institut-polytechnique-de-paris,Institut Polytechnique de Paris,71.6,71.3,71.3
https://www.timeshighereducation.com/world-university-rankings/universite-paris-saclay,Université Paris-Saclay,71.6,73.4,74.4
https://www.timeshighereducation.com/world-university-rankings/korea-advanced-institute-science-and-technology-kaist,Korea Advanced Institute of Science and Technology (KAIST),71.3,69.5,69.2
https://www.timeshighereducation.com/world-university-rankings/leiden-university,Leiden University,71.3,70.7,70.2
https://www.timeshighereducation.com/world-university-rankings/university-california-santa-barbara,"University of California, Santa Barbara",71.2,72.7,72.1
https://www.timeshighereducation.com/world-university-rankings/australian-national-university,The Australian National University,71.1,70.7,72.6
https://www.timeshighereducation.com/world-university-rankings/city-university-hong-kong,City University of Hong Kong,71.1,70,69.3
https://www.timeshighereducation.com/world-university-rankings/university-southern-california,University of Southern California,71.1,71,70.8
https://www.timeshighereducation.com/world-university-rankings/boston-university,Boston University,70.4,70.6,70.1
https://www.timeshighereducation.com/world-university-rankings/sorbonne-university,Sorbonne University,70.4,70.4,70.5
https://www.timeshighereducation.com/world-university-rankings/university-north-carolina-chapel-hill,University of North Carolina at Chapel Hill,70.3,71.6,71.2
https://www.timeshighereducation.com/world-university-rankings/unsw-sydney,UNSW Sydney,70,69.1,68.9
https://www.timeshighereducation.com/world-university-rankings/hong-kong-polytechnic-university,The Hong Kong Polytechnic University,69.7,68,68.2
https://www.timeshighereducation.com/world-university-rankings/university-queensland,The University of Queensland,69.7,70.3,72
https://www.timeshighereducation.com/world-university-rankings/university-bristol,University of Bristol,69.7,70,69.8
https://www.timeshighereducation.com/world-university-rankings/university-groningen,University of Groningen,69.3,69.8,70
https://www.timeshighereducation.com/world-university-rankings/university-glasgow,University of Glasgow,68.9,67.8,68.2
