,Name,Arts and Humanities 2025,Business and Economics 2025,Computer Science 2025,Education Studies 2025,Engineering 2025,Geo,Industry,International Outlook,Law 2025,Life Sciences 2025,Medical and Health 2025,Overall,Physical Sciences 2025,Rank,Research Environment,Research Quality,Social Sciences 2025,Teaching,URL,World University Rankings 2026,Arts and Humanities,Business and Economics,Computer Science,Education Studies,Engineering,Law,Life Sciences,Medical and Health,Physical Sciences,Psychology,Social Sciences,Female_share,Male_share,International students,No. of FTE students,No. of students per staff,country,town,Overall_num
10,ETH Zurich,40.0,19.0,4.0,10.0,12.0,"Zurich, Switzerland",83.7,95.1,9.0,22.0,42.0,93.1,,11,97.2,94.5,,88.5,https://www.timeshighereducation.com/world-university-rankings/eth-zurich,11.0,Architecture,"Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",,Politics and International Studies,33.0,67.0,0.44,23106.0,15.5,Switzerland,Zurich,93.1
11,Tsinghua University,39.0,6.0,13.0,7.0,13.0,"Beijing, China",100.0,53.4,19.0,15.0,15.0,93.0,12.0,12,98.5,93.9,20.0,95.9,https://www.timeshighereducation.com/world-university-rankings/tsinghua-university,12.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",,,0.11,38569.0,10.8,China,Beijing,93.0
12,Peking University,38.0,4.0,12.0,8.0,11.0,"Haidian District, China",100.0,67.3,14.0,11.0,25.0,92.3,11.0,13,97.9,89.0,18.0,95.4,https://www.timeshighereducation.com/world-university-rankings/peking-university,13.0,"Archaeology, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,Biological Sciences,"Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",,,0.15,35659.0,11.3,China,Haidian District,92.3
13,University of Pennsylvania,15.0,13.0,36.0,16.0,34.0,"Philadelphia, United States",97.9,78.4,24.0,16.0,10.0,90.8,28.0,14,90.3,96.1,8.0,88.1,https://www.timeshighereducation.com/world-university-rankings/university-pennsylvania,14.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Biological Sciences, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",55.0,45.0,0.26,22422.0,6.6,United States,Philadelphia,90.8
14,The University of Chicago,9.0,9.0,40.0,8.0,19.0,"Chicago, United States",76.4,79.7,16.0,11.0,26.0,90.6,13.0,15,90.1,96.8,,89.6,https://www.timeshighereducation.com/world-university-rankings/university-chicago,15.0,"Archaeology, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,,Chemical Engineering,Law,Biological Sciences,Medicine and Dentistry,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Politics and International Studies, Sociology",47.0,53.0,0.39,16509.0,5.9,United States,Chicago,90.6
15,Johns Hopkins University,49.0,67.0,25.0,30.0,37.0,"Baltimore, United States",100.0,81.9,9.0,33.0,5.0,90.1,20.0,16,89.9,96.3,25.0,84.6,https://www.timeshighereducation.com/world-university-rankings/johns-hopkins-university,16.0,"Archaeology, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,Biological Sciences,"Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",54.0,46.0,0.34,21275.0,5.6,United States,Baltimore,90.1
16,National University of Singapore,25.0,12.0,11.0,9.0,12.0,"Singapore, Singapore",99.9,92.8,21.0,10.0,17.0,89.7,45.0,17,93.1,95.1,17.0,78.6,https://www.timeshighereducation.com/world-university-rankings/national-university-singapore,17.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",49.0,51.0,0.31,35558.0,21.0,Singapore,Singapore,89.7
17,Cornell University,32.0,18.0,16.0,24.0,34.0,"Ithaca, United States",70.3,83.5,18.0,18.0,17.0,89.5,29.0,=18,90.6,95.9,19.0,85.9,https://www.timeshighereducation.com/world-university-rankings/cornell-university,18.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Business and Management, Economics and Econometrics",Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Veterinary Science",Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",53.0,47.0,0.26,25673.0,10.6,United States,Ithaca,89.5
18,"University of California, Los Angeles",14.0,20.0,17.0,13.0,16.0,"Los Angeles, United States",93.5,69.2,25.0,22.0,14.0,89.5,17.0,=18,91.4,95.6,11.0,86.0,https://www.timeshighereducation.com/world-university-rankings/university-california-los-angeles,18.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",57.0,43.0,0.15,44700.0,9.8,United States,Los Angeles,89.5
19,Columbia University,12.0,14.0,26.0,18.0,28.0,"New York, United States",74.8,83.7,5.0,14.0,16.0,89.4,15.0,20,87.8,95.9,14.0,87.8,https://www.timeshighereducation.com/world-university-rankings/columbia-university,20.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",,,0.42,30580.0,5.6,United States,New York,89.4
20,University of Toronto,16.0,24.0,23.0,9.0,23.0,"Toronto, Canada",95.8,92.3,22.0,26.0,9.0,88.5,30.0,21,92.9,92.3,11.0,78.2,https://www.timeshighereducation.com/world-university-rankings/university-toronto,21.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",56.0,44.0,0.39,80394.0,25.1,Canada,Toronto,88.5
21,UCL,7.0,22.0,34.0,10.0,48.0,"London, United Kingdom",74.7,97.5,10.0,20.0,8.0,87.5,38.0,22,85.9,97.6,6.0,77.8,https://www.timeshighereducation.com/world-university-rankings/ucl,22.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",60.0,40.0,0.63,47520.0,12.1,United Kingdom,London,87.5
22,University of Michigan-Ann Arbor,20.0,21.0,41.0,12.0,19.0,"Ann Arbor, United States",81.4,65.8,18.0,27.0,18.0,86.9,24.0,23,87.3,93.8,10.0,85.7,https://www.timeshighereducation.com/world-university-rankings/university-michigan-ann-arbor,23.0,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology",52.0,48.0,0.19,48449.0,8.4,United States,Ann Arbor,86.9
23,Carnegie Mellon University,89.0,26.0,20.0,101.0,57.0,"Pittsburgh, United States",85.5,84.3,24.0,101.0,6.0,85.0,,24,83.0,99.0,,72.7,https://www.timeshighereducation.com/world-university-rankings/carnegie-mellon-university,24.0,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, Mechanical and Aerospace Engineering",,Biological Sciences,,"Chemistry, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies",44.0,56.0,0.5,16257.0,13.0,United States,Pittsburgh,85.0
24,University of Washington,78.0,42.0,18.0,32.0,51.0,"Seattle, United States",81.6,70.1,126.0,24.0,19.0,83.7,23.0,25,80.0,97.6,43.0,77.0,https://www.timeshighereducation.com/world-university-rankings/university-washington,25.0,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology",57.0,43.0,0.18,49524.0,9.5,United States,Seattle,83.7
