0,1,2,3,4,5,6,7
=98,"KTH Royal Institute of Technology
Sweden",66.3,51.1,57.3,79.7,97.2,90.5
101,"Aarhus University
Denmark",66.2,48.6,58.8,83.9,99.8,75.3
102,"Emory University
United States",65.9,53.8,46.2,94.6,82.8,66.4
=103,"Rice University
United States",65.8,56.7,46.8,88.1,72.9,82.6
=105,"Michigan State University
United States",65.7,57.1,55.9,82.7,69.9,67.3
107,"Erasmus University Rotterdam
Netherlands",65.6,38.5,52.9,95.9,89.2,87.1
=108,"Ohio State University (Main campus)
United States",65.4,57.4,51.7,85.7,85.4,58.4
112,"University of Massachusetts
United States",65.3,55.0,46.6,87.9,88.6,75.0
=113,"Free University of Berlin
Germany",65.2,50.2,58.3,82.2,72.4,79.5
115,"Ghent University
Belgium",65.1,48.8,58.6,82.7,99.9,65.9
=116,"McMaster University
Canada",65.0,42.2,49.3,93.1,100.0,84.6
118,"University of Leeds
United Kingdom",64.9,48.3,50.3,87.2,71.6,93.6
119,"University of Alberta
Canada",64.6,49.1,55.4,78.1,100.0,88.4
120,"University of Basel
Switzerland",64.5,50.2,42.8,87.5,99.8,94.2
121,"Technical University of Denmark
Denmark",64.4,51.2,46.5,82.6,99.9,93.0
=122,"University of Göttingen
Germany",64.1,49.4,52.7,87.2,71.0,70.1
=125,"University of Hamburg
Germany",63.7,45.7,52.8,87.1,99.8,63.6
127,"University of Rochester
United States",63.6,51.8,44.5,86.3,92.0,78.1
128,"Uppsala University
Sweden",63.5,47.4,54.9,81.3,95.0,71.5
129,"University of Southampton
United Kingdom",63.4,44.6,45.4,89.6,73.1,96.1
130,"University of Bologna
Italy",63.3,54.2,50.1,83.3,82.5,59.7
=131,"Harbin Institute of Technology
China",63.2,57.2,57.7,77.2,100.0,32.5
133,"Adelaide University
Australia",63,38.3,48.9,89.5,99.7,89.8
=134,"Beijing Normal University
China",62.9,59.6,49.3,80.9,89.1,42.4
137,"Scuola Normale Superiore di Pisa
Italy",62.8,58.6,46.9,86.4,37.7,59.3
=138,"University of Arizona
United States",62.6,48.3,52.5,86.1,80.6,53.7
140,"National Taiwan University (NTU)
Taiwan",62.5,59.4,54.9,68.6,100.0,59.2
=141,"Pohang University of Science and Technology (POSTECH)
South Korea",62.3,58.3,49.5,79.2,100.0,39.9
143,"University of Liverpool
United Kingdom",62.2,43.5,42.0,91.2,68.0,95.0
144,"Newcastle University
United Kingdom",62.1,39.8,43.2,93.0,80.0,89.5
=145,"Case Western Reserve University
United States",62.0,51.8,42.2,88.7,74.9,64.6
150,"Université de Montréal
Canada",61.9,41.4,50.5,83.1,95.5,84.1
=151,"Texas A&M University
United States",61.8,52.5,57.2,73.4,73.5,63.2
