Name,Arts and Humanities,Business and Economics,Computer Science,Education Studies,Engineering,Law,Life Sciences,Medical and Health,Physical Sciences,Psychology,Social Sciences
Lagos State University of Science and Technology,Architecture,"Accounting and Finance, Business and Management",Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,"Agriculture and Forestry, Biological Sciences",,"Chemistry, Mathematics and Statistics, Physics and Astronomy",,Communication and Media Studies
Lahore Garrison University,"Languages, Literature and Linguistics","Accounting and Finance, Business and Management",Computer Science,,,,"Agriculture and Forestry, Biological Sciences",Other Health,"Chemistry, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies"
Lankaran State University,"Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,General Engineering,,"Agriculture and Forestry, Biological Sciences, Veterinary Science",,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Geography, Sociology"
La Salle University (Colombia),"Architecture, History, Philosophy and Theology","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering",,"Agriculture and Forestry, Biological Sciences, Veterinary Science",Other Health,,,Politics and International Studies
Law Enforcement Academy of the Republic of Uzbekistan,,,,,,Law,,,,,
Lead City University,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology"
Lebanese French University,"Architecture, Art, Performing Art and Design, Languages, Literature and Linguistics","Accounting and Finance, Business and Management",Computer Science,Education,General Engineering,Law,Biological Sciences,Other Health,Chemistry,,"Politics and International Studies, Sociology"
Leeds Arts University,"Art, Performing Art and Design",,,,,,,,,,
Leeds Conservatoire,"Art, Performing Art and Design",Business and Management,,,,,,,,,
Leeds Trinity University,"Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Business and Management, Economics and Econometrics",Computer Science,Education,,Law,Sport Science,,,Psychology,"Communication and Media Studies, Sociology"
Lesya Ukrainka Volyn National University,"Archaeology, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,Chemical Engineering,Law,"Agriculture and Forestry, Biological Sciences, Sport Science",Medicine and Dentistry,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology"
Leyte Normal University,"Art, Performing Art and Design, Languages, Literature and Linguistics",Business and Management,Computer Science,Education,,,Biological Sciences,Other Health,"Geology, Environmental, Earth and Marine Sciences",,"Communication and Media Studies, Politics and International Studies, Sociology"
Liaquat University of Medical and Health Sciences (LUMHS),,Business and Management,,,General Engineering,,,"Medicine and Dentistry, Other Health",,,
Liverpool Institute for Performing Arts,"Art, Performing Art and Design",Business and Management,,,Electrical and Electronic Engineering,,,,,,
Liverpool School of Tropical Medicine,,,,,,,,"Medicine and Dentistry, Other Health",,,Politics and International Studies
London Academy of Music and Dramatic Art (LAMDA),"Art, Performing Art and Design",,,,,,,,,,
London Business School,,"Accounting and Finance, Business and Management, Economics and Econometrics",,,,,,,,,
London Film School,"Art, Performing Art and Design",,,,,,,,,,
London School of Hygiene and Tropical Medicine,,,Computer Science,,,,"Biological Sciences, Veterinary Science","Medicine and Dentistry, Other Health",Mathematics and Statistics,,
Lords University,"Art, Performing Art and Design, History, Philosophy and Theology",Business and Management,Computer Science,Education,,Law,"Agriculture and Forestry, Biological Sciences, Sport Science",Other Health,"Chemistry, Mathematics and Statistics, Physics and Astronomy",,"Geography, Politics and International Studies"
LSPR Institute of Communication & Business,,Business and Management,,Education,,,,,,,Communication and Media Studies
Lutsk National Technical University,"Architecture, Art, Performing Art and Design, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Sport Science",,"Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics",Psychology,"Communication and Media Studies, Politics and International Studies"
Luxor University,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics",,Computer Science,Education,"Electrical and Electronic Engineering, General Engineering",,,"Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",,
Lyceum-Northwestern University,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology"
Machakos University,"Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,"Agriculture and Forestry, Biological Sciences",,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Geography, Sociology"
Magtymguly Turkmen State University,"Archaeology, History, Philosophy and Theology, Languages, Literature and Linguistics",,Computer Science,Education,,Law,Biological Sciences,,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology"
Mahatma Jyotiba Phule Rohilkhand University,"Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences","Medicine and Dentistry, Other Health","Chemistry, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology"
Malatya Turgut Ozal University,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,"Agriculture and Forestry, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology"
Malawi University of Science and Technology (MUST),"Art, Performing Art and Design, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, General Engineering, Mechanical and Aerospace Engineering",,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",,"Communication and Media Studies, Geography"
Mangalayatan University Jabalpur,"Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,General Engineering,Law,Agriculture and Forestry,Other Health,,Psychology,
Manila Central University,,"Accounting and Finance, Business and Management",Computer Science,Education,,,Biological Sciences,"Medicine and Dentistry, Other Health",,Psychology,
Mansoura National University,Architecture,"Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,Biological Sciences,"Medicine and Dentistry, Other Health","Chemistry, Mathematics and Statistics",,
Mapua Malayan Colleges Laguna,Architecture,"Accounting and Finance, Business and Management",Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,Biological Sciences,"Medicine and Dentistry, Other Health","Geology, Environmental, Earth and Marine Sciences, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies"
Mardin Artuklu University,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,,,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Mathematics and Statistics",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology"
Marinduque State University,"Languages, Literature and Linguistics","Accounting and Finance, Business and Management",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,Agriculture and Forestry,Medicine and Dentistry,,,"Communication and Media Studies, Politics and International Studies"
Maritime University of Szczecin,,Business and Management,Computer Science,,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,,,,,
Marwadi University,"Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences","Medicine and Dentistry, Other Health",Chemistry,,
Maryam Abacha American University of Niger,"Architecture, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology"
Maryam Abacha American University of Nigeria,"Architecture, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology"
Medizinische Hochschule Hannover,,,,,,,,"Medicine and Dentistry, Other Health",,,
Meikai University,,"Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,,Law,,"Medicine and Dentistry, Other Health",,,"Communication and Media Studies, Politics and International Studies, Sociology"
Menoufia National University,"Languages, Literature and Linguistics",,Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,"Biological Sciences, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Mathematics and Statistics",,
Metropolitan International University,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Mathematics and Statistics",,"Communication and Media Studies, Geography, Politics and International Studies, Sociology"
Middle East College,"Art, Performing Art and Design",Business and Management,,,,,,,,,
Middle East University,"Architecture, Art, Performing Art and Design, Languages, Literature and Linguistics","Accounting and Finance, Business and Management",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering",Law,Sport Science,Other Health,,,Communication and Media Studies
Middle East University – Lebanon,"Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management",Computer Science,Education,,,Biological Sciences,,,,
Midocean University,,"Accounting and Finance, Business and Management",Computer Science,Education,,Law,,,,,Communication and Media Studies
Mingachevir State University (MSU),"Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, General Engineering, Mechanical and Aerospace Engineering",,,,"Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics",,
Minhaj University Lahore,"Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Electrical and Electronic Engineering",Law,"Agriculture and Forestry, Biological Sciences",Other Health,"Chemistry, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology"
Misurata University,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Biological Sciences, Sport Science, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology"
"MIT Art, Design and Technology University","Architecture, Art, Performing Art and Design","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,Biological Sciences,,Mathematics and Statistics,Psychology,
Modern University for Business and Science,"Art, Performing Art and Design","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,,,,Other Health,,,
Modulo University Center,Architecture,"Accounting and Finance, Business and Management",Computer Science,Education,Civil Engineering,Law,"Biological Sciences, Sport Science",Other Health,,Psychology,
Mohammad Ali Jinnah University,,"Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,,Electrical and Electronic Engineering,,Biological Sciences,,Mathematics and Statistics,Psychology,
Mohammed VI University of Sciences and Health,,Business and Management,Computer Science,,General Engineering,,"Biological Sciences, Veterinary Science","Medicine and Dentistry, Other Health",,,
Mount Kenya University,"History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Electrical and Electronic Engineering, General Engineering",Law,"Biological Sciences, Veterinary Science","Medicine and Dentistry, Other Health","Chemistry, Mathematics and Statistics",Psychology,"Communication and Media Studies, Geography, Politics and International Studies"
Muban Chombueng Rajabhat University,"Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management",Computer Science,Education,,Law,"Agriculture and Forestry, Biological Sciences, Sport Science",Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",,"Communication and Media Studies, Politics and International Studies, Sociology"
Muhammadiyah University of Makassar,Architecture,"Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering",Law,Agriculture and Forestry,"Medicine and Dentistry, Other Health",,,"Communication and Media Studies, Politics and International Studies"
Muhammadiyah University of North Sumatra,"History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences",Medicine and Dentistry,"Mathematics and Statistics, Physics and Astronomy",,"Communication and Media Studies, Politics and International Studies"
Muhammadiyah University of Sidoarjo,"Languages, Literature and Linguistics","Accounting and Finance, Business and Management",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,Agriculture and Forestry,"Medicine and Dentistry, Other Health",,Psychology,Communication and Media Studies
"Muhammad Nawaz Sharif University of Engineering & Technology, Multan",,Business and Management,Computer Science,,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,,,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics",,
Mukogawa Women’s University,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, General Engineering",,"Agriculture and Forestry, Biological Sciences, Sport Science",Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology"
Mulungushi University,"History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology"
Murang'a University of Technology,"Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, Mechanical and Aerospace Engineering",Law,"Agriculture and Forestry, Biological Sciences","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology"
Musashino University,"Architecture, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Electrical and Electronic Engineering, General Engineering",Law,,Medicine and Dentistry,"Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics",Psychology,"Communication and Media Studies, Politics and International Studies"
Myrat Garryyev State Medical University of Turkmenistan,"History, Philosophy and Theology, Languages, Literature and Linguistics",,Computer Science,,,,"Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences",Psychology,Sociology
Nahdlatul Ulama University Surabaya,"Languages, Literature and Linguistics","Accounting and Finance, Business and Management",Computer Science,Education,,,,"Medicine and Dentistry, Other Health",,,
Nakhon Ratchasima Rajabhat University,"Architecture, Art, Performing Art and Design, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science",Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",,"Communication and Media Studies, Politics and International Studies, Sociology"
Namangan State Pedagogical Institute,"Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics",,Computer Science,Education,,,Sport Science,,"Chemistry, Mathematics and Statistics, Physics and Astronomy",Psychology,"Geography, Sociology"
Namangan State Technical University,,"Business and Management, Economics and Econometrics",Computer Science,,"Civil Engineering, General Engineering, Mechanical and Aerospace Engineering",,,,,,
Narxoz University,,"Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,,,Law,Agriculture and Forestry,,Mathematics and Statistics,Psychology,"Politics and International Studies, Sociology"
"Nasarawa State University, Keffi","Archaeology, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering",Law,Agriculture and Forestry,Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology"
National Defence University - Pakistan,,"Business and Management, Economics and Econometrics",,,,,,,,,Politics and International Studies
National Film and Television School,"Art, Performing Art and Design",Business and Management,,,,,,,,,
National Polytechnic University of Armenia,"Art, Performing Art and Design","Business and Management, Economics and Econometrics",Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,,,,,
National School of Artificial Intelligence (ENSIA),,,Computer Science,,,,,,,,
National Taichung University of Education,"Art, Performing Art and Design, Languages, Literature and Linguistics",Business and Management,Computer Science,Education,,,Sport Science,,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics",Psychology,Sociology
