Name,Arts and Humanities,Business and Economics,Computer Science,Education Studies,Engineering,Law,Life Sciences,Medical and Health,Physical Sciences,Psychology,Social Sciences
Klaipeda University,"Archaeology, History, Philosophy and Theology, Languages, Literature and Linguistics","Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Electrical and Electronic Engineering, Mechanical and Aerospace Engineering",,"Biological Sciences, Sport Science",Other Health,"Geology, Environmental, Earth and Marine Sciences",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology"
Knowledge University,"Architecture, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering",Law,Biological Sciences,"Medicine and Dentistry, Other Health","Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics",,"Communication and Media Studies, Politics and International Studies"
Kobe Gakuin University,"Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,,Law,"Biological Sciences, Sport Science",Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology"
Kocaeli Health and Technology University,,,Computer Science,,,,Biological Sciences,"Medicine and Dentistry, Other Health",,Psychology,
Kokshetau State University,,,,,,,,Other Health,,,
Komar University of Science and Technology,"Languages, Literature and Linguistics","Accounting and Finance, Business and Management",Computer Science,,"Civil Engineering, General Engineering",,Biological Sciences,"Medicine and Dentistry, Other Health",,,Communication and Media Studies
Konan University,"History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,,,Law,Biological Sciences,,"Chemistry, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Politics and International Studies, Sociology"
Korkyt Ata Kyzylorda University,"Archaeology, Architecture, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science",,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Sociology"
Koya University,"Architecture, History, Philosophy and Theology, Languages, Literature and Linguistics","Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, General Engineering",Law,"Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Chemistry, Mathematics and Statistics, Physics and Astronomy",Psychology,"Geography, Sociology"
Krok University,"Art, Performing Art and Design","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,,,Law,,Other Health,,Psychology,Communication and Media Studies
K.S.Rangasamy College of Technology,,Business and Management,Computer Science,,"Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,"Agriculture and Forestry, Biological Sciences",,Chemistry,,
Kumasi Technical University,"Architecture, Art, Performing Art and Design, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,Agriculture and Forestry,Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",,Communication and Media Studies
Kurdistan Technical Institute,"Art, Performing Art and Design","Accounting and Finance, Business and Management",Computer Science,,,,,"Medicine and Dentistry, Other Health",,,Communication and Media Studies
Kütahya Health Sciences University,,,Computer Science,,,,Biological Sciences,"Medicine and Dentistry, Other Health",,,
Kut University College,"Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",,,"Medicine and Dentistry, Other Health",Physics and Astronomy,,
Kuwait College of Science and Technology (KCST),,,Computer Science,,Electrical and Electronic Engineering,,,,,,
Kyiv National Economic University,,"Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,,,Law,,,,Psychology,"Politics and International Studies, Sociology"
Kyiv National University of Technologies and Design,"Art, Performing Art and Design","Accounting and Finance, Business and Management",,,"Chemical Engineering, General Engineering",,,,,,
Kyoai Gakuen University,"Archaeology, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,,Law,Sport Science,,"Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics",Psychology,"Communication and Media Studies, Geography, Sociology"
Kyoto Sangyo University,"Archaeology, Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Electrical and Electronic Engineering, General Engineering",Law,"Agriculture and Forestry, Biological Sciences, Sport Science, Veterinary Science",Other Health,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",,"Communication and Media Studies, Geography, Politics and International Studies, Sociology"
Kyrgyz National University named after Jusup Balasagyn,"Archaeology, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,Electrical and Electronic Engineering,Law,Biological Sciences,Medicine and Dentistry,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,"Communication and Media Studies, Geography, Politics and International Studies, Sociology"
Kyrgyz-Turkish Manas University,"History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Electrical and Electronic Engineering",,"Biological Sciences, Sport Science, Veterinary Science",,Mathematics and Statistics,Psychology,"Communication and Media Studies, Politics and International Studies, Sociology"
Kyungdong University,"Art, Performing Art and Design, Languages, Literature and Linguistics","Accounting and Finance, Business and Management",Computer Science,Education,"Civil Engineering, Electrical and Electronic Engineering, General Engineering",,"Biological Sciences, Sport Science","Medicine and Dentistry, Other Health","Geology, Environmental, Earth and Marine Sciences",,"Communication and Media Studies, Politics and International Studies"
K. Zhubanov Aktobe Regional University,"Art, Performing Art and Design, History, Philosophy and Theology, Languages, Literature and Linguistics","Accounting and Finance, Business and Management, Economics and Econometrics",Computer Science,Education,"Chemical Engineering, Civil Engineering, Electrical and Electronic Engineering, General Engineering, Mechanical and Aerospace Engineering",Law,"Biological Sciences, Sport Science",,"Chemistry, Geology, Environmental, Earth and Marine Sciences, Mathematics and Statistics, Physics and Astronomy",Psychology,Geography
Lagos State University of Education,"Art, Performing Art and Design, Languages, Literature and Linguistics",Accounting and Finance,Computer Science,Education,Electrical and Electronic Engineering,,"Agriculture and Forestry, Biological Sciences, Sport Science",,"Chemistry, Mathematics and Statistics, Physics and Astronomy",,"Communication and Media Studies, Geography, Politics and International Studies, Sociology"
